Sample	Loading
T23	-0.2017341482410616
T22	-0.20191649074113507
T15	-0.20219803367725744
T14	-0.20220943655601836
T10	-0.20227683497722618
T16	-0.20273474392546956
T17	-0.20313713841072095
T3	-0.2034098865798482
T24	-0.20364914239564869
T13	-0.20369412594522188
T11	-0.20376271820002415
T2	-0.20390083574736703
T4	-0.2040294558203175
T9	-0.204597243689777
T18	-0.2047409216319632
T19	-0.20493357986948554
T12	-0.205068239099828
T21	-0.20509507615583308
T5	-0.20531744588099266
T20	-0.2054195443464679
T7	-0.2056452043331924
T1	-0.20633932863514526
T6	-0.20640401935717897
T8	-0.2066425703198416
