Sample	Loading
T12	0.33253919450509273
T24	0.2805545349790463
T23	0.2694105353059452
T21	0.2555244899653805
T22	0.24565513425872773
T11	0.22679851847198587
T10	0.20242991043178674
T20	0.17416260937108144
T9	0.1605842168329706
T13	0.11106106382518201
T8	-0.019444010146140354
T1	-0.019973103816766896
T14	-0.07032424838456386
T15	-0.09836071103349718
T19	-0.14163609415673978
T2	-0.14854341013593478
T16	-0.1660741752463498
T18	-0.18312851298669972
T3	-0.1976856805402922
T17	-0.2114301620064717
T4	-0.2227273623770416
T7	-0.22945475310705382
T5	-0.2662654021694952
T6	-0.2757520361481596
