value,dim,ratio,cum_ratio,distance
809.8844011528312,0,857.6813500222265,NA,NA
16.333428544960036,1,0.34884669427450105,0.34884669427450105,0.9798323951891033
11.266445858951583,2,0.16597923787281613,0.5148259321473172,0.3102216213859128
8.22763993525445,3,0.08851776768882479,0.603343699836142,0.26972178819664727
7.415734922756486,4,0.07190983511504703,0.675253534951189,0.09868018276043511
6.82560757628943,5,0.060920369626010024,0.736173904577199,0.07957772933012297
6.2569926102848905,6,0.051193070896018954,0.787366975473218,0.08330613204013892
5.63531803331313,7,0.041525680641671586,0.8288926561148896,0.09935677020776512
4.830623687086232,8,0.030513098518221086,0.8594057546331106,0.1427948416522289
4.2396837343609075,9,0.023504272846451665,0.8829100274795623,0.12233201983940323
4.051815430139717,10,0.02146738801225624,0.9043774154918185,0.04431186758073358
3.5820794438942394,11,0.01677839154438887,0.9211558070362074,0.11593222700898798
3.1287717422873724,12,0.01280052137761735,0.9339563284138248,0.12654875714148195
2.8947542457682855,13,0.010957293562548251,0.944913621976373,0.07479532410632239
2.732461560291209,14,0.009763106352441287,0.9546767283288143,0.056064408823072065
2.6158187181166737,15,0.008947365617384729,0.9636240939461991,0.0426878254646349
2.471355788817364,16,0.007986388712219015,0.9716104826584181,0.05522665936243454
2.1408988155643383,17,0.005993385072436989,0.9776038677308551,0.133714851883452
1.9514401142075355,18,0.00497955294575219,0.9825834206766072,0.08849493492146276
1.9051330814243002,19,0.004746030607772101,0.9873294512843793,0.02372967145960314
1.7540109903489327,20,0.0040229489223246985,0.991352400206704,0.07932364019545912
1.6965759257580753,21,0.0037637996563417257,0.9951161998630458,0.03274498558269101
1.4265621840308718,22,0.002661100721725564,0.9977773005847713,0.15915217092718925
1.303768303797547,23,0.0022226994152286642,1,0.08607678067447455
