value,dim,ratio
3546.3209968347305,0,6187.884217897029
27.95529201322202,1,0.384515772113655
22.001364719954232,2,0.23816905477863556
18.05328684694952,3,0.16036096370085226
9.43225955116101,4,0.04377413550609674
7.9849456504250105,5,0.03137111978975442
7.011542280562597,6,0.024188737785493304
6.389793809451031,7,0.020089067623085575
5.847786004992205,8,0.01682554092760792
5.654717952475865,9,0.015732871229523927
5.272692961494963,10,0.01367889628807089
5.10361768742136,11,0.01281570080805674
4.808005252840815,12,0.011374071633865515
4.505130165263357,13,0.009986211941341364
4.333685122778932,14,0.009240613344733506
4.001235030934372,15,0.007877242529227254
