Sample	Loading
T3	0.5055043564447228
T2	0.2726746568289882
T10	0.2227951477363527
T12	0.1479391510316018
T9	0.14611524185735658
T1	0.1450206098912358
T8	0.09182276414050199
T4	0.07337756499443433
T7	0.005381627431641853
T14	-0.034346206935898745
T16	-0.10256489753265058
T6	-0.1552987917829212
T15	-0.16803446284965728
T13	-0.2962023755979546
T11	-0.3163284664096555
T5	-0.5389924444411698
