Symbol	Loading
glucopyranose	0.5597180823753712
methylcitrate	0.44573591518504013
glycerol-3-phosphate	0.27901729782160983
lysine	0.1470377625832394
2-methylmalate	0.11029692326010801
glucose	0.10576637160899383
fumarate	0.1042021850112668
3-hydroxy-butanoate	0.08094635017244188
thiaminediphosphate	0.06941927782218703
norvaline	0.053465873398065335
phenylalanine	0.05197879705472056
ribulose-5-phosphate	0.04733126404579291
threonate	0.042014166595788466
2-hydroxy-isovalerate	0.03925958059448922
aspartate	0.03589496593220812
arginine	0.02362395671013663
2-amino-adipinate	0.016665306897517638
glycine	0.013317331439827386
ornithine	0.01123907034627306
ribose-5-phosphate	0.010943715152758235
mannitol	0.003562621223666413
isoleucine	0.003135127180207922
glycerol	-0.004790387577655482
pseudouridine	-0.008985763247409701
NADfragment	-0.014152218652290468
leucine	-0.01948051176606896
homoserine	-0.025850161425031378
threonine	-0.028410722934065963
myo-inositol	-0.02990287107313771
succinate	-0.037699808594520615
UDPandG1P	-0.038036074683697796
trehalose	-0.047362321967006904
pyruvate	-0.05212603302253783
glycerate-3-phosphate	-0.07027466913297487
valine	-0.07376504570052739
6-phosphogluconate	-0.08458746904411599
proline	-0.08463701215124277
cystathionine	-0.08566300589205013
glucose-6-phosphate	-0.10115104604816781
serine	-0.1152617036249894
alanine	-0.13787173077045414
sucrose	-0.20114808256043146
lactate	-0.2578297324485339
fructose	-0.37003474810024367
