Sample	Loading
T8	0.5117805307688988
T4	0.27351021601523134
T1	0.22347469931410965
T13	0.21737340244250153
T23	0.14231210581338424
T16	0.1244078155130379
T2	0.11366950799570492
T11	0.08228910247053758
T19	0.06533151221564414
T24	0.058967220740212295
T14	0.024065068125939976
T15	0.014425669398088037
T20	0.00616080148427425
T7	-0.005936452101529391
T18	-0.018153843622074388
T3	-0.04089248181604286
T6	-0.07747039450465248
T22	-0.11261800200433081
T17	-0.13459516034491006
T9	-0.15812599627527726
T5	-0.29345089057595414
T21	-0.2975428320695465
T10	-0.3229851224496611
T12	-0.3991017194644656
