Sample	Loading
T10	-0.20076014642737972
T17	-0.20117176322279243
T23	-0.20166352895362763
T4	-0.20239489313129708
T3	-0.20244187495191152
T16	-0.2025354874540654
T22	-0.20259035554328436
T15	-0.20266118948727857
T18	-0.20354050837232476
T5	-0.20380914024547694
T14	-0.2039155109963408
T2	-0.20410242195864
T11	-0.2042972901317631
T7	-0.2045080551885388
T9	-0.20468102642799244
T6	-0.20468506323576516
T24	-0.20488923708737516
T13	-0.20491604023561988
T1	-0.20514833665486612
T19	-0.20553321122396445
T21	-0.206345936759002
T20	-0.20683076532955624
T8	-0.20732691692587088
T12	-0.20802936862056354
