"id"	"geneNum"	"description"	"gene"
"sce00250"	32	"Alanine, aspartate and glutamate metabolism"	"YAL062W,YBR006W,YDL171C,YDL215C,YDR111C,YDR321W,YFL030W,YGR019W,YGR124W,YHR018C,YHR037W,YJL130C,YJR109C,YKL104C,YKL106W,YLR027C,YLR089C,YLR155C,YLR157C,YLR158C,YLR160C,YLR351C,YLR359W,YMR084W,YMR250W,YMR300C,YNL220W,YOL058W,YOR303W,YOR375C,YPR035W,YPR145W"
"sce00260"	30	"Glycine, serine and threonine metabolism"	"YAL012W,YAL044C,YBR263W,YCL064C,YCR053W,YDL021W,YDR019C,YDR158W,YDR232W,YEL046C,YER026C,YER052C,YER081W,YER086W,YFL018C,YFL030W,YGL026C,YGL196W,YGR155W,YGR205W,YGR208W,YHR025W,YIL074C,YJR139C,YKL152C,YLR058C,YMR189W,YMR226C,YOL056W,YOR184W"
"sce00261"	3	"Monobactam biosynthesis"	"YDR158W,YER052C,YJR010W"
"sce00270"	43	"Cysteine and methionine metabolism"	"YAL012W,YCL064C,YDL078C,YDR158W,YDR502C,YEL038W,YER043C,YER052C,YER081W,YER091C,YFR055W,YGL184C,YGL202W,YGR012W,YGR155W,YHR208W,YIL074C,YJL101C,YJR024C,YJR130C,YJR139C,YJR148W,YKL069W,YKL085W,YKL106W,YLL058W,YLL062C,YLR017W,YLR027C,YLR146C,YLR180W,YLR303W,YML082W,YMR009W,YNL277W,YOL049W,YOL052C,YOL126C,YOR184W,YOR251C,YPL273W,YPR069C,YPR118W"
"sce00280"	14	"Valine, leucine and isoleucine degradation"	"YDR036C,YER073W,YFL018C,YGR019W,YHR208W,YIL160C,YJR148W,YML126C,YMR110C,YMR169C,YMR170C,YOR374W,YPL028W,YPL061W"
"sce00290"	12	"Valine, leucine and isoleucine biosynthesis"	"YCL009C,YCL018W,YCL064C,YER086W,YGL009C,YHR208W,YJR016C,YJR148W,YLR355C,YMR108W,YNL104C,YOR108W"
"sce00300"	12	"Lysine biosynthesis"	"YBR115C,YDL131W,YDL182W,YDR158W,YDR234W,YER052C,YGL202W,YIL094C,YIR034C,YJL200C,YJR139C,YNR050C"
"sce00310"	16	"Lysine degradation"	"YBR006W,YDR148C,YDR440W,YER073W,YFL018C,YHR109W,YHR119W,YIR034C,YJL168C,YMR110C,YMR169C,YMR170C,YNR050C,YOR374W,YPL028W,YPL061W"
"sce00330"	23	"Arginine and proline metabolism"	"YDR242W,YDR300C,YER023W,YER073W,YHR033W,YHR037W,YKL106W,YKL184W,YLR027C,YLR142W,YLR146C,YLR438W,YMR020W,YMR110C,YMR169C,YMR170C,YOL052C,YOR323C,YOR374W,YPL061W,YPL111W,YPR062W,YPR069C"
"sce00332"	3	"Carbapenem biosynthesis"	"YDR300C,YHR033W,YOR323C"
"sce00340"	14	"Histidine metabolism"	"YBR248C,YCL030C,YER055C,YER073W,YFR025C,YIL020C,YIL116W,YMR110C,YMR169C,YMR170C,YNL092W,YOR202W,YOR374W,YPL061W"
"sce00350"	13	"Tyrosine metabolism"	"YBR006W,YBR145W,YDL168W,YGL202W,YGL256W,YHR137W,YIL116W,YKL106W,YLR027C,YMR083W,YMR303C,YNL168C,YOL086C"
"sce00360"	7	"Phenylalanine metabolism"	"YDR242W,YDR380W,YGL202W,YHR137W,YIL116W,YKL106W,YLR027C"
"sce00380"	20	"Tryptophan metabolism"	"YBL098W,YDR148C,YDR242W,YDR256C,YDR428C,YER073W,YFL018C,YGL202W,YGR088W,YIL164C,YJL060W,YJR025C,YJR078W,YLR231C,YMR110C,YMR169C,YMR170C,YOR374W,YPL028W,YPL061W"
"sce00400"	17	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"YBR166C,YBR249C,YDR007W,YDR035W,YDR127W,YDR354W,YER090W,YGL026C,YGL148W,YGL202W,YHR137W,YIL116W,YKL106W,YKL211C,YLR027C,YNL316C,YPR060C"
"sce00410"	13	"beta-Alanine metabolism"	"YDR036C,YER073W,YGL205W,YGR019W,YIL145C,YKR009C,YMR020W,YMR110C,YMR169C,YMR170C,YMR250W,YOR374W,YPL061W"
"sce00430"	3	"Taurine and hypotaurine metabolism"	"YDL215C,YLR299W,YMR250W"
"sce00440"	4	"Phosphonate and phosphinate metabolism"	"YGR007W,YGR202C,YHR123W,YNL130C"
"sce00450"	12	"Selenocompound metabolism"	"YAL012W,YDR353W,YER091C,YFR055W,YGL184C,YGR171C,YGR264C,YHR106W,YJR010W,YJR130C,YLL058W,YML082W"
"sce00460"	9	"Cyanoamino acid metabolism"	"YBR263W,YDR321W,YIL164C,YLR058C,YLR155C,YLR157C,YLR158C,YLR160C,YLR299W"
"sce00470"	3	"D-Amino acid metabolism"	"YEL066W,YGL196W,YPR193C"
"sce00480"	23	"Glutathione metabolism"	"YBL064C,YDL066W,YER070W,YER163C,YFR044C,YGR180C,YGR256W,YHR183W,YIL066C,YIR038C,YJL026W,YJL101C,YKL184W,YKL215C,YLR146C,YLR174W,YLR299W,YNL009W,YNL229C,YNL241C,YOL049W,YPL091W,YPR069C"
"sce00500"	41	"Starch and sucrose metabolism"	"YBR001C,YBR126C,YBR196C,YBR299W,YCL040W,YDR001C,YDR074W,YDR261C,YDR516C,YEL011W,YFR015C,YFR053C,YGL253W,YGR032W,YGR282C,YGR287C,YGR292W,YHL012W,YIL099W,YIL162W,YIL172C,YJL137C,YJL216C,YJL221C,YKL035W,YKL127W,YKR058W,YLR258W,YLR300W,YLR342W,YLR446W,YML100W,YMR105C,YMR261C,YMR278W,YMR306W,YOL157C,YOR190W,YPR026W,YPR160W,YPR184W"
"sce00510"	30	"N-Glycan biosynthesis"	"YBL082C,YBR070C,YBR110W,YBR229C,YBR243C,YDL232W,YEL002C,YGL022W,YGL027C,YGL047W,YGL065C,YGL226C-A,YGR036C,YGR227W,YIL049W,YJL002C,YJR131W,YLR057W,YML019W,YMR013C,YMR149W,YNL048W,YNL219C,YNR030W,YOR002W,YOR067C,YOR085W,YOR103C,YPL227C,YPR183W"
"sce00511"	1	"Other glycan degradation"	"YGL156W"
