Sample	Loading
MT13	0.3151748085357623
MT25	0.29393305935314057
MT1	0.2901901148189777
MT21	0.274779106337439
RT5	0.2254117809017786
MT33	0.2013499699050556
RT3	0.1890269196661363
RT4	0.171169835543612
RT2	0.14227786918269314
RT6	0.1226690432575562
MT5	0.1152239767730997
RT1	0.08606921073889783
RT12	0.07163433173832645
MT7	0.06664729658733042
MT10	0.05919442380181145
MT8	0.05187509167707338
MT19	0.0390927710044983
MT36	0.01952940598228947
MT16	0.018472920543255944
MT31	0.014143558946174787
MT6	0.012857687040412624
MT3	0.012317611031519404
RT16	0.0050637498219010466
MT4	0.003741596457283669
MT24	0.0016896499235167298
MT17	-0.003927184396662887
MT27	-0.00551728684850661
RT11	-0.024560540053209536
RT15	-0.02687990471625034
MT23	-0.028597261386899157
MT15	-0.03439490402661907
MT26	-0.03987658179296981
MT30	-0.05643923457465796
MT11	-0.07280622809347884
MT35	-0.07742158137953929
RT14	-0.08128306906042404
MT22	-0.08393898519584281
MT28	-0.08542852422118963
MT14	-0.08654847301708868
MT2	-0.08895005755945816
MT34	-0.10695146965038273
MT18	-0.1087033342499285
MT29	-0.11362590402995197
RT7	-0.1282462910187138
RT10	-0.1344063496289774
MT12	-0.14378928651960565
MT20	-0.1608131257033463
MT9	-0.18887348823936256
RT8	-0.19192996654013725
RT9	-0.19458012456079465
RT13	-0.23274749787096324
MT32	-0.29336684957478754
