Sample	Loading
RT1	0.21282548676284285
RT2	0.20608557112024223
MT20	0.18821395851929162
RT16	0.17552674464320636
MT8	0.15395975541065499
RT3	0.15148595699552647
MT11	0.12970900671434196
RT12	0.12467131853497773
RT13	0.12449739635506836
MT32	0.12272131702633929
MT10	0.118956067498401
MT22	0.11662937749075511
MT34	0.1128355656345354
MT33	0.1041243504696696
MT12	0.10160249183819535
MT35	0.09538589815871355
MT31	0.09384304476206028
MT36	0.08648447134007921
MT19	0.08530526451340124
MT24	0.08069451514065587
MT23	0.07921013800517623
MT21	0.0707998516619312
RT15	0.06832310103153717
MT7	0.044815947199842054
MT13	0.0322245577438334
MT1	0.030480532183636645
MT30	0.025186050404760966
MT18	0.017711700719805133
RT14	0.008333301105771466
MT25	-0.0046685055012821355
MT6	-0.015465718338763368
RT11	-0.031147104946380882
MT29	-0.03303627761214005
MT28	-0.052759606377110094
RT10	-0.05649530505231123
RT9	-0.06679807713287501
MT17	-0.07013561193545569
MT9	-0.07393928984798351
MT5	-0.07789736918875738
RT4	-0.10368801561225699
RT8	-0.10971519757357942
RT7	-0.1279549696044857
MT16	-0.13099764902936292
RT6	-0.13923981620942766
MT4	-0.14284029263888864
MT27	-0.17383326166509272
MT2	-0.21758454203090988
MT26	-0.21764524229454066
MT15	-0.21905824043065508
MT14	-0.23129323751929462
MT3	-0.25942568399973714
RT5	-0.4422758554616478
