Sample	Loading
MT9	0.5014161052760612
RT5	0.301419236270113
MT21	0.26145688080406143
RT13	0.21576775087186834
MT10	0.17283869512350947
RT16	0.16771617073481643
RT15	0.16712249084304973
MT33	0.16513669023834082
RT14	0.15142222301665106
RT6	0.1451431571127362
RT1	0.046165566562853644
RT12	0.039139884700744476
MT30	0.029197113324206686
MT32	0.021282116843212122
MT29	0.018373662292893556
MT17	0.017683943773109022
MT7	0.01736167632493149
MT31	-4.061600398461947e-4
MT19	-0.010197183909817546
MT8	-0.013081012283275822
MT6	-0.013803436850800876
MT28	-0.02307445178663706
MT22	-0.02316062899304792
MT18	-0.02429343378784241
MT16	-0.024617823286770757
MT25	-0.025141591258889692
MT1	-0.029070779178361005
MT5	-0.029665538764588502
MT27	-0.03252842340973279
RT7	-0.03308187935602076
MT13	-0.03384830296080874
MT11	-0.03697957012851924
MT4	-0.03892845439569965
MT26	-0.049655175991000035
MT34	-0.05356917390161767
MT15	-0.054209965757550924
MT3	-0.05540198684300364
MT12	-0.062386467445066165
MT23	-0.06257400847700569
RT2	-0.06771931017675008
MT36	-0.07173189007862774
MT24	-0.07703098271674046
MT14	-0.07908782402759534
RT8	-0.08237109907797759
MT2	-0.08329707697752384
MT35	-0.08784502739340672
MT20	-0.09018956307618096
RT9	-0.10900147686984067
RT11	-0.1090956506941455
RT10	-0.14050827856129056
RT3	-0.2544047960560394
RT4	-0.4353541963473942
