value,dim,ratio,cum_ratio,distance
6.170713835328683,1,0.49477272917771403,0.49477272917771403,NA
4.479698696125472,2,0.26075494293228013,0.7555276721099942,0.2740388201964221
1.8357571419619851,3,0.043789036957698035,0.7993167090676923,0.5902052199292451
1.5986735350640995,4,0.03320890165948997,0.8325256107271821,0.1291475879235856
1.332812567309929,5,0.023081982063140414,0.8556075927903226,0.16630097510403263
1.143096032706485,6,0.01697854132002738,0.8725861341103499,0.142342996499768
1.0867852193675125,7,0.015346960928218476,0.8879330950385684,0.04926166457392611
0.9619713884480792,8,0.012024284721838962,0.89995737976040735,0.11484682409655189
0.8390789500399375,9,0.009148304111228234,0.9091056838716356,0.12775061699745616
0.8052799794661137,10,0.008426141441384425,0.91753182531302,0.040281037406807774
0.764938546583901,11,0.007603053275076556,0.9251348785880966,0.05009615774746856
0.7095779814151237,12,0.0065423715138924424,0.9316772501019891,0.07237256563420569
0.6464575362183926,13,0.005430189009011889,0.9371074391110009,0.08895490960817143
0.5928444106838954,14,0.004566846352379621,0.9416742854633806,0.08293371572109753
0.5762111340630495,15,0.0043141797169727915,0.9459884651803534,0.02805673178508683
0.5427567318811157,16,0.003827765982357975,0.9498162311627113,0.058059277588123015
0.517050024502179,17,0.0034737620561032254,0.9532899932188146,0.0473632216220351
0.4805136220752389,18,0.0030001733497903565,0.9562901665686049,0.07066318672379468
0.47715994309267884,19,0.0029584408951690336,0.9592486074637739,0.006979362974302794
0.45365723159886195,20,0.0026741798828215147,0.9619227873465954,0.04925541599633387
0.43827865179535624,21,0.002495948240898589,0.964418735587494,0.03389911751060526
0.4318408023854532,22,0.002423161104533684,0.9668418966920277,0.014688941347088535
0.41996416033257195,23,0.002291708627388805,0.9691336053194165,0.027502361952079668
0.40810097962108133,24,0.0021640645733846994,0.9712976698928012,0.02824807884105185
0.4030503955457483,25,0.0021108318782430404,0.9734085017710443,0.012375819533740118
0.3926637713528899,26,0.0020034412335378743,0.9754119430045821,0.025770038455847355
0.3803210964743952,27,0.0018794716271243038,0.9772914146317064,0.031433189866151956
0.37477362279805937,28,0.0018250424681026801,0.9791164570998091,0.014586289658294893
0.35937191880016717,29,0.0016781207903081357,0.9807945778901173,0.04109601919927852
0.3560862719587338,30,0.0016475757936261633,0.9824421536837434,0.009142747859663403
0.3449215609521839,31,0.0015458794595853856,0.9839880331433288,0.031353949550303906
0.3375749622001464,32,0.0014807283667415594,0.9854687615100703,0.021299331743010352
0.3112842434883925,33,0.0012590680904903972,0.9867278296005608,0.07788112761800814
0.3080091738261196,34,0.0012327137624876415,0.9879605433630484,0.010521154638509778
0.3031404644557078,35,0.001194050691143742,0.9891545940541921,0.01580702714121207
0.291745304880584,36,0.0011059683331583292,0.9902605623873505,0.03759036127223714
0.28256661266545363,37,0.0010374725908683551,0.9912980349782189,0.03146131938228558
0.27530418994670464,38,9.848284433759268e-4,0.9922828634215948,0.025701630671233544
0.2621860264955815,39,8.932109211219056e-4,0.9931760743427167,0.04764970505411725
0.25781870111875493,40,8.637016975904623e-4,0.9940397760403071,0.016657353693485866
0.25212777949236864,41,8.259929468782816e-4,0.9948657689871854,0.022073346897225177
0.24709713048165904,42,7.933600817602666e-4,0.9956591290689457,0.01995277561575426
0.22665348893413703,43,6.675130463359803e-4,0.9963266421152817,0.08273524466946192
0.2200949161493706,44,6.294409058575694e-4,0.99695608302113925,0.028936562219310402
0.21534841403609664,45,6.025849717757559e-4,0.997558667992915,0.021565705361648035
0.21328057883332366,46,5.910681562821939e-4,0.9981497361491972,0.009602277370040824
0.2027741823878684,47,5.342693482727206e-4,0.9986840054974699,0.04926091490808404
0.19499855194441543,48,4.940804997455683e-4,0.9991780859972155,0.03834625469518438
0.18345234108426092,49,4.373019938837845e-4,0.9996153879910993,0.05921177744666417
0.1720457503253173,50,3.846120089007466e-4,1,0.062177406358115084
6.729087021031807e-14,51,5.883655423157326e-29,1,0.9999999999996089
2.955938443999913e-14,52,1.1353394080972763e-29,1,0.5607222146539186
