Data,Dim,Max_ACF,Max_Lag
H3K4me3,1,0.788977043049473,9.84
H3K4me3,2,0.6494296340215507,16.26
H3K9ac,1,0.9605258767454997,-3.66
H3K9ac,2,0.897886842556049,-3.48
H3K14ac,1,0.9371419034539149,-4.98
H3K14ac,2,0.45780961270148685,45.72
H3K18ac,1,0.9769232873258861,-3.1799999999999997
H3K18ac,2,0.9668952425754195,-3.48
H3K36me3,1,-0.5693369365071211,-28.560000000000002
H3K36me3,2,0.4655908780538049,60
H3K56ac,1,0.7432272643814992,41.940000000000005
H3K56ac,2,-0.7814980860695415,-30
H4K5ac,1,0.8935097635440258,-4.08
H4K5ac,2,0.9249700359235531,-3.5999999999999996
H4K16ac,1,-0.5869401369737032,-2.28
H4K16ac,2,0.7475610777064564,0
