Sample	Loading
T14	0.4243178441865503
T15	0.3393323879209826
T13	0.2694302751290458
T16	0.26330706606277055
T17	0.14249305154824254
T21	0.12780907609326664
T22	0.08020635904426014
T24	0.06421798593687475
T2	0.041140801527902386
T7	0.026247064420284776
T19	0.02190621411020347
T23	0.0071413248163034555
T8	0.003190796908927856
T9	0.0027998070806186117
T18	-6.821061797737268e-4
T12	-0.008397736430350567
T20	-0.049937096474255184
T5	-0.10191856783857933
T4	-0.12880790759636324
T3	-0.1728244804728905
T6	-0.29155841276048156
T1	-0.3201412540134676
T10	-0.32588331242362945
T11	-0.3995613368380323
