Sample	Loading
T12	0.669572644356094
T8	0.27663480318274186
T20	0.25586571632322325
T21	0.1307725762618914
T2	0.12381568468227643
T3	0.08751705844408625
T4	0.07975901269738428
T22	0.05313284109411131
T6	0.04935463338052015
T5	0.04025522529590227
T14	0.00761086733760624
T18	-0.01658006312768916
T19	-0.030213956147358664
T16	-0.04441963326510275
T11	-0.049319436963849154
T15	-0.050231755987363895
T24	-0.1397813196907916
T7	-0.15043191709631423
T1	-0.15586183630631747
T23	-0.17229571251139558
T17	-0.17810370001932138
T9	-0.20395520759072994
T13	-0.2723142213723005
T10	-0.32334341892936896
