Sample	Loading
T21	0.2837091693515523
T19	0.20813142271748772
T20	0.2056982326509049
T9	0.19483205875974727
T8	0.18149567177099138
T7	0.15427380761689344
T22	0.1513903809845625
T18	0.12783101207601966
T10	0.0961387046527111
T5	0.08456125111399945
T17	0.0830143268014853
T6	0.07090398205725885
T11	0.05979107380949133
T23	0.028772075552458566
T24	-0.004554304476101991
T16	-0.04002699252869009
T4	-0.09004033231926983
T15	-0.09364488833920948
T3	-0.10705575157806534
T14	-0.2036340294014069
T12	-0.23062618342967656
T13	-0.25940035100781755
T2	-0.2722785708345735
T1	-0.6333747150891634
