Symbol	Loading
AICAR(259/127)	0.37829368379376305
spermidine(146/84)	0.26996081184685733
aspartate	0.2083016859803475
AICAR(259/110)	0.20234940411774985
2-hydroxy-isovalerate	0.18919407890792017
norvaline	0.18431361644776662
N-acetylglucosamine-1-phosphate(302/138)N	0.16638224575351646
cytosine(112/95)	0.15812669516049835
3-hydroxy-butanoate	0.12730419162151374
cytidine(244/112)	0.11901908964982796
threonate	0.10594982786545852
uridine(245/113)	0.10432344212235796
glycerol	0.10357974218620541
IMP(349/137)	0.10339285822073536
acetyl-CoA(810/159)N	0.09716233192134259
glycerate-3-phosphate	0.09533687707005785
isoleucine	0.09462610113822496
6-phosphogluconate	0.09340184309315983
inosine(269/137)	0.09238422245167889
guanosine(284/135)	0.09117301081805423
cytidine(244/95)	0.09094624165921293
threonine	0.08925544148972271
guanosine(284/152)	0.08838704066980069
UDPandG1P	0.08752563737636954
GSSG(613/177)A	0.0810393835653441
2-methylmalate	0.08022297170999967
valine	0.07508182722916357
phenylalanine	0.07362568715280161
methylcitrate	0.07212194195883315
IMP(349/97)	0.07195655654754618
ribose-5-phosphate	0.06960970184372806
carnitine(162/103)	0.0677967543162373
aminolevulinicacid(132/114)A	0.06667478025115516
mannitol	0.0661791513060109
glycine	0.0661463309910295
acetyl-CoA(810/303)N	0.061763679455100765
alanine	0.059774866617674186
pyruvate	0.05690939701754523
N-acetylglucosamine-1-phosphate(302/204)N	0.055690600987221645
thiaminediphosphate	0.05523021629797336
isocitrate(193/101)A	0.05521162035216711
deoxyadenosine(252/136)	0.054883387994581756
deoxyadenosine(252/119)	0.054590341652789004
NADP(H)(744/232)N	0.05405681512508218
SAH(385/136)N	0.05089153388426475
thymine(127/110)	0.05059390176271035
dAMP(332/136)N	0.05027561716244765
FAD(786/348)N	0.04740784194882903
UDP-glucose(584/405)N	0.04719742218292083
ribulose-5-phosphate	0.04674877892471189
lysine	0.046556697232089043
spermidine(146/72)	0.04592720174318792
CMP(324/95)N	0.04499670332845812
trehalose	0.04311874240361412
NAD(H)(664/428)	0.04282202491767719
isocitrate(193/83)A	0.04112422657815747
ornithine	0.040696165857180985
tyrosine(182/91)	0.03994640917532438
GSH(308/76)A	0.03987138345542177
NAD(H)(664/136)	0.0398481687288382
UDP(405/69)N	0.03726089442804668
CoA(768/261)N	0.036957272434997024
lactate	0.03691059426315479
SAH(385/134)N	0.03678604925787654
FMN(457/243)N	0.03591228037672356
proline	0.0337287741596758
UDP(405/97)N	0.03335161008231466
FAD(786/136)N	0.03328637324251666
GSH(308/179)A	0.03321617987337912
tyrosine(182/136)	0.03277681504626323
UMP(325/97)	0.03265394881189678
