Sample	Loading
T1	0.41388932337699
T8	0.3673541291472108
T7	0.26398504870573947
T21	0.23836058902890744
T22	0.18774309287630356
T9	0.16937262926141025
T6	0.11065113904461159
T13	0.08858282200084794
T20	0.0553626789033573
T17	0.04492827008329403
T2	0.03455243789289485
T14	0.017026216666673213
T10	-0.013226596398881345
T18	-0.026891129895823207
T19	-0.08571402642865499
T12	-0.10458800587538819
T4	-0.10475898049552027
T5	-0.12457837397055331
T16	-0.1706395125998363
T24	-0.1919672231060189
T23	-0.22965610456626676
T15	-0.2862711951975142
T3	-0.303195723476814
T11	-0.3719977752516619
