value,dim,ratio,cum_ratio,distance
810.5408512475491,0,828.3034274165416,NA,NA
16.465618246216984,1,0.3418186277212098,0.3418186277212098,0.979685640494401
11.408829366239695,2,0.1641049992813965,0.5059236270026063,0.3071119956967967
7.9786370790432475,3,0.08025961349433666,0.5861832404969429,0.30066119643675815
7.262884541076954,4,0.06650555505763293,0.6526887955545759,0.0897086220209583
6.589133145708074,5,0.05473891801936964,0.7074277135739455,0.09276636459774623
6.140086306868649,6,0.04753227417896549,0.7549599877529111,0.06814960768123479
5.487290341994254,7,0.037962562700328085,0.7929225504532391,0.10631706660933093
5.2020029936657375,8,0.03411778575219857,0.8270403362054377,0.051990569215047966
4.659165736692538,9,0.02736881293009037,0.854409149135528,0.10435158488647356
4.232230480639634,10,0.022582824705004473,0.8769919738405325,0.09163341254221569
3.929206016080849,11,0.01946476849286787,0.8964567423334003,0.07159923495305198
3.701231135738008,12,0.01727157949722483,0.9137283218306252,0.05802059739545862
3.2685594176773294,13,0.013469529026455217,0.9271978508570804,0.11689940514196118
3.071530513644425,14,0.011894585441312597,0.939092436298393,0.06028004354680361
2.884092485737454,15,0.010487162756344433,0.9495795990547374,0.061024309240728436
2.760427919559005,16,0.009607103393380256,0.9591867024481178,0.042878155534193496
2.6312217616164704,17,0.008728800080091489,0.9679155025282092,0.04680656829582275
2.462743123929064,18,0.0076467672669820385,0.9755622697951912,0.06403057322842409
2.251593769406366,19,0.0063917490932336235,0.9819540188884248,0.08573746586523001
2.124707910567217,20,0.005691649028071625,0.9876456679164964,0.05635379728049361
2.006606082971696,21,0.005076494161120485,0.992722162077617,0.055584971001492844
1.8114269057575874,22,0.0041369595112357,0.9968591215888527,0.09726830735261038
1.5783588189064632,23,0.003140878411147363,1,0.12866546594307582
