Symbol	Loading
fructose	0.4843021726083768
glycerol	0.2745190001342839
glycerol-3-phosphate	0.2363243772937504
cytosine(112/95)	0.20826644102685232
glucopyranose	0.1950806750586525
GMP(364/152)	0.1705070034912072
cytidine(244/112)	0.13877411073157608
GMP(364/135)	0.1354564218681322
sucrose	0.13004919924633276
SAM(399/136)A	0.1287010252686964
cytidine(244/95)	0.12804607783402197
SAM(399/250)A	0.12498922408763376
AMP(348/119)	0.12395291404949974
aminolevulinicacid(132/114)A	0.12252507760940529
inosine(269/110)	0.11994410458372781
guanosine(284/135)	0.11701900002641562
glucose	0.11009657567174119
guanosine(284/152)	0.11007367630698625
spermine(203/112)	0.1100093006245607
AMP(348/136)	0.10767445252328446
AICAR(259/127)	0.10746958987485078
riboflavin(377/172)	0.10574178083269839
nicotinamide(123/78)	0.08890040862412243
lactate	0.08809261408229355
riboflavin(377/243)	0.0818474070241204
fumarate	0.08153618167712727
myo-inositol	0.07588814126617655
ribulose-5-phosphate	0.0747443912819504
inosine(269/137)	0.07461565691243252
deoxyadenosine(252/119)	0.07134022282507521
N-acetyl-glucosamine(222/138)	0.06895158471634044
uridine(245/113)	0.06674709265606177
NADP(H)(744/232)N	0.06510829239259171
UMP(325/97)	0.06375331885692398
pyridoxal-phosphate(248/150)	0.06330963639778002
nicotinamide(123/80)	0.06135804738113967
ribose-5-phosphate	0.057117130635977266
succinate	0.052594972524693966
histidine(156/83)A	0.05234964568402207
UDP(405/69)N	0.051859620635439516
threonate	0.05060843537588093
CMP(324/112)N	0.049885829200672804
tyrosine(182/91)	0.04615264646139389
GSSG(613/231)A	0.044389086444231646
CMP(324/95)N	0.044341742275438134
cGMP(346/135)	0.040948481693139666
ADP(428/119)N	0.040567700237870714
guanine(152/135)	0.039984034932068806
NAD(H)(664/428)	0.03926170953372598
tryptophan(205/146)	0.03748389143210179
NADfragment	0.03702875880916242
histidine(156/110)A	0.03686786903470457
pyridoxal-phosphate(248/94)	0.03666900383159886
ADP(428/136)N	0.036329331181408187
leucine	0.03573869608804253
NAD(H)(664/136)	0.03169418357958882
tyrosine(182/136)	0.03152171413067416
AICAR(259/110)	0.030782446131657707
tryptophan(205/188)	0.030729659379224204
isoleucine(132/69)	0.028373911158255476
adenosine(268/136)	0.028241059365941484
phenylalanine	0.028077898807387907
GSSG(613/177)A	0.026166759549590874
UDP-glucose(584/405)N	0.025926474304799708
N-acetylglucosamine-6-phosphate(302/126)N	0.02522133359456894
pseudouridine	0.02506496938036945
2-hydroxy-isovalerate	0.023538745774538333
2-amino-adipinate	0.023460143742126738
UDP(405/97)N	0.02322604388913458
glutamate(148/84)	0.021853162949957865
cysteine(122/76)A	0.01934002625510551
arginine(175/116)A	0.01750895967213014
deoxyadenosine(252/136)	0.016719713544443546
UDPandG1P	0.01645072379451052
glutamate(148/130)	0.015127276947625437
thiaminediphosphate	0.01500486784526299
phenylalanine(166/120)	0.014802995420236815
GSH(308/76)A	0.014548516024903093
homoserine	0.014523735810724003
thiamine(265/122)A	0.013348634787075724
norvaline	0.01297791316445877
UDP-glucose(584/97)N	0.012886247891185604
NADP(H)(744/136)N	0.012616750410578425
isoleucine	0.012523447297282816
GSH(308/179)A	0.0106903511024346
lysine	0.010667995925113074
trehalose	0.010570516216650777
asparagine(133/87)	0.010207671158918616
phenylalanine(166/103)	0.010035493780829092
mannitol	0.008355683048626543
uracil(113/70)	0.007928516821471861
methionine(150/104)	0.00791862113688151
arginine(175/70)A	0.0075027069553915485
valine(118/55)A	0.006828810735467051
methionine(150/133)	0.005881537093011957
UDP-N-acetylglucosamine(608/204)N	0.00558278525246856
UMP(325/213)	0.005538859234884343
FAD(786/348)N	0.00552720891916705
2-methylmalate	0.0029090793348492336
arginine	0.0025379473241965715
glucosamine(180/72)N	0.0015219534880627163
FMN(457/172)N	8.556785639947304e-4
valine(118/72)A	-8.98964109043337e-4
threonine	-0.0010161589210726035
SAH(385/136)N	-0.0014492488380115414
serine	-0.0016964732243322396
FMN(457/243)N	-0.0022022690087536542
ornithine	-0.002301902866055416
cystathionine	-0.0023452093154872388
citrulline(176/70)	-0.004957043718173099
asparagine(133/74)	-0.005147244289865875
FAD(786/136)N	-0.0054522744032671
acetyl-CoA(810/303)N	-0.006071204247165655
thiamine(265/144)A	-0.007156172921081408
adenosine(268/119)	-0.007182224320092639
valine	-0.007431302644005433
ornithine(133/116)	-0.007506890693532104
dAMP(332/136)N	-0.007932402078258112
ornithine(133/70)	-0.008666484871568672
UDP-N-acetylglucosamine(608/138)N	-0.008878593090167454
serine(106/60)	-0.0089807160288931185
homoserine(120/56)	-0.009475714708474997
leucine(132/44)	-0.010042997436051424
proline	-0.010880591705936325
glycine	-0.011025101014937883
homoserine(120/74)	-0.011072360948097559
proline(116/69)	-0.011421573417070273
glucosamine(180/162)N	-0.012080343177390394
isocitrate(193/83)A	-0.012619029429949068
guanine(152/110)	-0.013513558569350718
aspartate	-0.014966759501993136
3-hydroxy-butanoate	-0.015433234577596575
SAH(385/134)N	-0.01633117431110996
citrulline(176/159)	-0.016791471217929156
acetyl-CoA(810/159)N	-0.016968984112154906
proline(116/70)	-0.017807276979276195
glucose-6-phosphate	-0.022196202645640012
CoA(768/261)N	-0.02317047981123927
IMP(349/97)	-0.02352462719437099
spermidine(146/84)	-0.025146242475053173
glycerate-3-phosphate	-0.03233469688956511
pyruvate	-0.036489411326082355
cysteine(122/59)A	-0.03802585418118614
isocitrate(193/101)A	-0.04031365500908123
cGMP(346/152)	-0.044027460940355576
