Sample	Loading
T12	0.3291488817554398
T24	0.2791272452017782
T22	0.27316912344945443
T21	0.26764516266593286
T23	0.2576133145427053
T11	0.2336375475670489
T10	0.2211952132515262
T9	0.20131334169646337
T13	0.13841301056826383
T8	0.024686246724530514
T1	0.00959113868996434
T14	-0.0365006863377533
T15	-0.06856564088859733
T2	-0.1300672584364065
T16	-0.1376163477799038
T20	-0.1533104458723305
T19	-0.15429491255034092
T3	-0.17960707325248168
T17	-0.1849119527078029
T18	-0.21352392358067576
T7	-0.21683559245857612
T4	-0.23546244437524463
T5	-0.24481770936856842
T6	-0.2712724946032172
