Symbol,MT1,MT2,MT3,MT4,MT5,MT6,MT7,MT8,MT9,MT10,MT11,MT12,MT13,MT14,MT15,MT16,MT17,MT18,MT19,MT20,MT21,MT22,MT23,MT24,MT25,MT26,MT27,MT28,MT29,MT30,MT31,MT32,MT33,MT34,MT35,MT36,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,RT15,RT16
YLR331C,-0.0010173366063242666,0.0015371350567224154,0.00416363457019486,5.099593441904892e-4,0.005653021211238023,-0.002489801003644747,-5.904249240025095e-4,5.672933859372206e-4,0.006311085542569546,-1.1773935217569433e-4,-0.0034629677154656502,-0.0046972480696643145,0.003308038449222112,0.0021397458330260845,2.816322765979303e-4,6.738404205318935e-4,0.005711385662067058,-0.004911546412107978,-6.318538409321301e-4,-0.001240945569900296,0.0015291494188275306,-0.003593935384890768,-2.936304359063786e-4,-0.00308820369127052,0.0071689044155072825,0.0041957944255570905,0.002205809080375496,5.239441352837295e-4,-0.0011819999139832484,-0.0029970544958906413,-0.0014819298252860154,-2.55636457363805e-5,-0.001633595717778995,-0.0019522326944093123,-0.004547094804907299,-0.0054936416728013976,-0.0228584094000709,-0.007841519928054532,-0.021791921834826127,-0.018892348932895955,0.030457905752108286,0.003192452085252987,0.017959759898137972,0.03060292422414028,-0.005754080319521636,0.01680780458364539,0.016829692121141892,-0.020177921050056166,0.01276719470166625,-2.3213961681128867e-4,-0.017984431124755472,-0.01253999696649409
YLR332W,0.010415167105394805,-0.0032158005009662962,-0.01537419796099009,-0.014312670501408355,-0.020863988836247852,-0.0195833405433452,-0.019397092992169913,-0.006859268400115723,0.02005362649573611,0.00413340878282825,0.011455062660526483,0.024240605972902805,0.00847192729454226,-0.003887903720979032,-0.009928795858398778,-0.020118675813372757,-0.016432363265140595,-0.017479570110284077,-0.014284747718828648,0.02771795761512052,0.01389346133986783,0.008731895214754046,0.013168663179288876,0.020708703662944587,0.003178145288595186,-0.010273305530343248,-0.01671378620328521,-0.010936315232012127,-0.015512778375865163,-0.0176931373321963,-0.012152002036693468,0.03342422282702005,0.014132432622184145,0.014437565041780955,0.016476832339446596,0.017183308132818098,-0.03648598510496104,-0.02590202938229109,-0.004724489762493547,0.021639493451962682,0.03199142134550407,0.017953390529418807,0.01743516339829015,0.016279686091402387,0.012670400667515125,0.018656335110102125,0.024003088756468473,0.009259563613940907,-0.005768706950097566,-0.026011107440245398,-0.02684495217265046,-0.043299601622612253
YLR333C,-0.007012799384191422,-0.016627307122202558,-0.0017024832166274162,0.0012880990725402167,0.007132766826298462,0.002674896379755289,-0.008378669379377276,0.009139473739310124,0.0021797322159663,0.00954669870642204,-0.003203425581291527,0.0067486685443588264,-0.021282531802551432,-0.014926944346252252,-2.7555906685419995e-4,-0.016536155577294428,0.012314399894096236,0.001808433231728845,0.004541030380699894,0.006819335140773432,-0.013705119135074014,0.0010623412247109726,0.008336049185927232,-0.006784321621825821,-0.011596354496384034,-0.025319751450134955,-0.0031919239447398065,0.014664711476573295,0.00360944588575615,0.009694772300578646,-0.0015693890698950368,0.017099759478559354,-0.008371267029044699,0.01877049660830464,0.01246759899896694,0.009141386241540051,-0.00594783680128456,-8.264284633812632e-5,0.004896099777505756,0.034525793263365114,0.05182046370134106,0.019327714574830655,0.02001475051671618,0.012053457048441584,0.0027788648073153364,-0.002019810172581503,-0.01003582879576657,-0.041689244295347996,-0.049197921881112196,-0.020213389803626705,-0.010751011648975902,-0.005152536485750469
YLR333C,0.0014322597610128616,-0.04686016949890652,-0.009581714557273286,-0.007324004125143174,-0.0019983194665029102,-0.003821217642317809,-0.008421556587226002,0.00980620966429629,0.008841496610249487,0.028702467189061585,0.025517716898746455,0.012222033175495339,-0.01707594640795428,-0.032292585244428205,-0.01646628127252413,-0.011066918131821942,0.005978663435309014,-0.002301046339086203,0.008648099015737742,0.016439110045218606,0.007011628606439538,0.006900071490887532,0.008030896343394841,0.0035041988039740046,-0.002906832481349064,-0.026867307459698543,-0.004307970579595391,-0.0018214567673141805,0.00208985519134409,0.001965205220867596,0.008137330772667083,0.016273984347887592,0.006989123157595767,0.005235641102284192,0.0036989414625353463,0.003911009883212487,-0.005947836801284466,-8.264284633803176e-5,0.0048960997775058974,0.03452579326336521,0.0518204637013412,0.01932771457483075,0.020014750516716275,0.012053457048441678,0.002778864807315431,-0.0020198101725814083,-0.010035828795766475,-0.04168924429534785,-0.04919792188111206,-0.020213389803626608,-0.010751011648975807,-0.005152536485750374
YLR334C,2.9395930920719874e-4,-2.4673280577212355e-4,0.0037763660403737132,0.00076642024241251115,0.0017984636597916253,1.2127341179243357e-4,0.004664836620014315,0.0010803483147882092,0.009689690908289895,-1.1428532903867508e-4,0.0033140406005782207,-0.007006197455030785,-0.0023809760580721356,1.0844743887078348e-4,0.0016944456267140172,0.004341308165076301,0.004611491787788841,-0.004817416184887409,4.613217326431269e-4,-0.002620947998219834,0.0018426070211644504,-0.004462111563466439,-6.831174648242378e-4,-0.005113644358535898,-8.696244299709393e-6,0.0019319105895138546,0.003718577307700082,5.487357788503025e-5,-0.0017128833894173104,7.63599040974286e-5,-1.3668322419814003e-4,-6.94191698256822e-4,-0.0011869966917118445,-0.0048416472251450295,-0.004839960300896048,-0.0022445647514602665,0.004838001181000461,0.010746689342266372,0.006632379496435865,0.011311495710564789,0.025798507368023724,-0.0017379220089025142,0.009392645421948198,-0.023722147704416687,-0.03763441838611279,4.570184766759011e-4,0.0034442846239656124,-6.695511092560457e-4,-0.01924129580238663,0.016810841179277995,-0.010941008682111451,0.0043031420970661705
YLR335W,-4.449894249740477e-4,-0.005467905351847418,-0.0022591524562418338,-0.005798822908148385,-0.014370230207491518,-0.003788586249993404,-0.01245776209294884,-0.003037412978595192,0.006649861892418543,0.0035595722883826945,0.006384616603523171,0.012519925396972395,-0.004204537016620918,-0.0034576432532684,-0.005185756822735691,-0.012179452438671072,4.903471024657319e-4,0.003133676391114607,-0.0027506431321003746,0.009116892086966215,-2.0330245950428294e-4,0.008303447007172182,0.00707038115899005,0.004461974773602227,-0.00432380572410227,-0.004002344442849073,-0.007470317705963518,-0.0028670807665619963,-0.0015151417828627343,-0.0024970978820512226,-0.005471329169344746,0.012026858943301308,1.774884992643018e-4,0.005308874164355816,0.012644588837846318,0.010198999329270757,-0.0053743580207604585,-8.020105380719338e-4,0.0011831255624874912,0.016207634141412505,0.011256139611882812,-2.805530369546836e-4,1.2605502816167508e-4,0.005555060243489004,0.004344502631701692,0.004373051123269344,0.007296690186866355,-0.007067154669800562,-0.007442569173619175,-0.008248873137385978,-0.008468351917975911,-0.01252468527219602
YLR336C,-0.014821767011305206,-0.009082287527430882,-0.006400083452979237,-0.005171769122603289,-0.007951669931112055,0.002082805921505428,1.2866577095109225e-4,0.004162768316120677,0.03911681767766929,-0.007856562853430083,-0.006870661425286962,0.009310329065719596,-0.020261541283453345,-0.006439463410811763,-0.0070147472286280375,-0.014550260087768952,0.0010163805062239916,0.010836468411796816,0.0024426207389164484,0.037312747452020824,-0.007857941272810216,-0.010501815977804623,-0.0032603480373141628,-3.6460819032188227e-6,-0.013060496738979301,-0.0064963968307087516,-0.0036477822937135574,0.006998769128633633,0.01187573754996612,0.0029310174894811164,-0.0011589593202063267,0.04523510059117426,-0.011301554466651322,-0.007350230793367193,-0.0010259021506114204,-0.001439938478196069,0.007034751975521812,0.011451699181728793,0.02790709492972487,0.05261598560403549,0.038113901761657125,-0.005062323570380272,3.656691576475882e-4,-0.0037607179316682194,-0.006384044481553198,-0.008034848440161637,-0.016223163251653377,-0.043635076915929244,-0.03397307533576406,-0.012748822702792593,-0.0072588730034664935,-6.740996938946293e-4
YLR337C,0.0026843668993267755,0.008141264088611138,0.007869894345938613,0.008221359459597262,7.585819623239824e-4,0.008236833512686533,0.0030611678679407692,-0.004259092514549703,-0.031078726956033836,-0.004403433368610544,-0.004541807367882938,-0.012752091681676006,0.005653157481948772,0.0039692211012703985,0.005043218215312977,0.010350209568608533,0.00745940680292328,0.0065984635103009245,0.0033444042472802896,-0.00610287155257512,5.938886192814732e-4,1.094638969637239e-4,-0.0016416241225851828,0.003225981452964854,0.0024473271271346375,0.009837506575881151,0.004175161571009635,-0.0023081232955847065,-0.004360907685618925,-0.005923422874759889,-6.300414722762102e-4,-0.017396066722283,0.006480214435509884,-0.005210502891492065,-0.006537108321772005,-7.714638501375289e-4,0.013948797242984212,0.01155472423298231,0.00817217076635166,-0.01428448701390633,-0.027214646742787913,-0.0034624487952042327,-0.00808632451136174,-0.0038622819172515733,-0.0061679333543474615,6.601941459143794e-5,0.008893263509214683,0.0071817917038021475,0.0060047750178441675,-6.029681559561307e-4,0.0038887840899501326,0.003720426601620331
YLR338W,4.2032092451269886e-5,0.0023311646230877686,0.004605033415496005,0.007700995952939183,0.003406731030046893,-7.268416011738723e-4,0.0055611438718119474,3.4927937956697396e-4,0.007977771457132136,0.0010554303107669514,7.6630214197472e-4,-0.012270512838118308,2.762027025862995e-4,0.003693513505011734,6.168022272394502e-4,0.006793002923539816,0.006263191963415059,-0.004900572626613076,0.001524415973857998,-0.0022156065823162874,-6.064196716747196e-4,-0.0061701569084336915,-0.00255444169806249,-0.0037566490095257998,0.0012499259482926287,0.005855807062852663,0.004519443720316041,1.3972394838157406e-4,-0.0022440682322140463,-1.474256119689382e-4,-4.275174966042348e-4,-0.00409741095296566,-0.0021183275193261014,-0.008183844743907858,-0.007556838574332491,-0.005040273113274852,0.0012570650201953735,0.03301110195521296,-0.014064096507284424,0.018431030907087087,-0.044221648176708046,0.032582419801781,0.0256335164511853,-0.0034656807491555202,-0.044269906317440086,-0.0021404859147170557,0.003798303916387339,-0.01251276953162891,-0.009670679293758925,0.019608845748732673,-0.010268354375993315,0.005925501637931752
YLR339C,-0.0036210303737960097,-0.005831110779678821,-0.0012074653772404635,-0.0017095186134208705,0.008210395297386952,-0.0033605043592876745,0.0013177184181196496,0.002562441642001739,0.010461224995698975,0.00583916104098666,0.0011493770213806132,-0.003953172024780078,0.005572067933044365,-0.0021698028054420674,1.0446022718952271e-4,0.00604016475033077,0.007477582695036723,-0.0043380483576644716,0.0024215598779314547,8.4337283209199e-4,0.0031692984276999914,-0.0029494586110020466,-0.005421925884282203,-0.004263436300968347,0.007061657861080008,0.0013426344371811403,-0.0016293088094704489,-0.0024144859522682075,-0.0021183675132411105,0.0011951417386073186,7.878636438091445e-4,-3.830170000254416e-4,-0.0033555929447169133,-0.0017280241925213538,-0.006772510264593114,-0.007204198187699732,0.012812024183093535,0.01085151906812917,0.006289437444774767,0.03608123810750644,0.0397499580058193,0.015730826458581752,0.01909549135019784,0.014554969275446718,0.004905395537383283,-0.002118624640927433,0.0038304890018322673,-0.04620285353215829,-0.058968942379251175,-0.02239368698992233,-0.021469625798796448,-0.012482162092914691
