value,dim,ratio,cum_ratio,distance
2920.309876757016,0,153.5674415669174,NA,NA
173.0592532510006,1,0.5393006270423687,0.5393006270423687,0.940739421309912
117.25478340610728,2,0.2475725055722169,0.7868731326145856,0.3224587463344476
50.30791859886845,3,0.04557366687489903,0.8324467994894846,0.5709520998846676
46.936729425902456,4,0.03967043140754974,0.8721172308970344,0.06701110415332945
34.869304027067074,5,0.021894137074147103,0.8940113679711815,0.2570998351703616
33.36372369589538,6,0.020044272865408032,0.9140556408365895,0.04317781421742728
28.52420058147021,7,0.014651032707761105,0.9287066735443507,0.14505344662773834
27.260262379953947,8,0.013381393366308189,0.9420880669106588,0.044311082370432464
25.12506667574122,9,0.011367258081714708,0.9534553249923735,0.07832630788553452
22.797508604228234,10,0.009358711316362267,0.9628140363087357,0.09263888138296139
21.303493191727853,11,0.008172273974568291,0.9709863102833041,0.06553415280752595
20.944602913381644,12,0.007899244136748208,0.9788855544200523,0.01684654601554103
20.251921439919354,13,0.007385395245488701,0.986270949665541,0.03307207476441254
19.919905399452677,14,0.0071452234955634505,0.9934161731611044,0.016394298262101037
19.121350520531045,15,0.006583826838895484,0.9999999999999999,0.040088286711621235
