Symbol	Loading
YNL142W	0.09095809282281139
YBR208C	0.08826330610788893
YPL265W	0.07276230803573738
tC(GCA)P2	0.06914170558184067
YHR092C	0.06250228699303034
YKR032W	0.06126536781092609
YHL016C	0.06078164609143054
YLL066C	0.0589497877708683
YNL205C	0.057035874944290764
YJR115W	0.055703523321052884
YJR152W	0.055140947056902534
YIR036W-A	0.05441970294306307
YAL061W	0.05342784168237753
YDL240C-A	0.05296764186152735
YKR033C	0.05211958092028404
tV(UAC)D	0.05182947431544828
YGR176W	0.051667414546491784
YKR034W	0.05165514818893263
YCL048W-A	0.05067545467909624
YDL159W-A	0.05022004166968252
YKR039W	0.04945331935713642
Q0120	0.048530180812122244
snR63	0.04803361802846583
snR64	0.04741089442401359
YPR202W	0.04700720806992739
tL(CAA)L	0.046232364692579436
YMR011W	0.04529206909011272
YPR108W-A	0.04499239081094429
YHR219W	0.04469340530964458
YDR040C	0.04460327436848302
YNR050C	0.04454976282796354
YDR545W	0.04433522269743179
snR53	0.04402528052520136
YHR126C	0.04399957589365981
YIR029W	0.04391625155592929
YIR032C	0.04307264326280217
snR78	0.04304754469961047
YBL100W-C	0.042603593981572485
YAL062W	0.04220029370610162
YAL069W	0.04212951184170577
YDL210W	0.041970492040454555
YDL041W	0.04151118818076697
tV(AAC)E2	0.041390813323836824
YIR031C	0.04089741768470409
YGR035C	0.04085447309129259
YIR023C-A	0.04047601402451935
YMR120C	0.03985110425750388
tP(UGG)N1	0.03961076942450968
YPL276W	0.03940243244295849
YOL084W	0.039230542924858156
tY(GUA)D	0.03866346334374417
YPL201C	0.03849013838076441
YPL275W	0.03825370561288833
YER137W-A	0.038226420610822744
YOR348C	0.03814449941100464
YDL218W	0.03806048169025531
YLL047W	0.037854542618550896
YOR134W	0.037838242189328145
YLR058C	0.03728526772110703
YOR388C	0.03711842902026525
YNL019C	0.03701114400817286
YMR075C-A	0.03696376302118894
YJL182C	0.03686828674759632
YBR157C	0.03683951904821195
YHR139C-A	0.03675078631620224
tI(AAU)E1	0.03670357905999727
YOR142W-B	0.0366135037756362
YOR178C	0.03634928058998395
YDR309C	0.035971564232531554
YCL076W	0.03577999853764524
YKL163W	0.035724706089084055
YBR089W	0.035695574718005815
YLR311C	0.03567210218054978
snR191	0.035670995134942825
YPL280W	0.03561004699468405
YEL010W	0.03542489841889637
YJR157W	0.03515195424610964
tD(GUC)J1	0.03508064833690867
YIL120W	0.034972843845555365
YDR038C	0.034949198254172184
YJL222W	0.03475732387315994
YBR301W	0.03441873362814755
YHL037C	0.03427261871594651
YOR338W	0.03422418936408739
YIL171W	0.03403852887712551
YLR053C	0.03383034229103372
YFL051C	0.033622959440694364
YJL007C	0.03337079406159219
YLR255C	0.03333839123479186
YNR014W	0.03316231383211761
YJL175W	0.03287822722047691
YJL116C	0.032691814321449915
YOR008W-B	0.03259728625894175
YNL017C	0.03256106385334977
YGR087C	0.03254294605842533
tR(UCU)B	0.032374596431786605
YFL052W	0.03233085839678054
YHR079C-A	0.0321591748169328
YKL178C	0.03190927313891295
tH(GUG)G1	0.03188752368564474
YML012C-A	0.03168392682541362
YHR179W	0.03137024460754874
tV(AAC)L	0.03136100136864655
tM(CAU)O1	0.03128860845868542
YDR269C	0.031088804551029747
YDR223W	0.031014445909365217
YKL165C-A	0.030968292921535807
YGR121C	0.03093466515140432
YDR183C-A	0.030773385159806065
YNL112W	0.030587406347577468
YLR416C	0.030553565078020914
YHR165W-A	0.030504323471172635
YJR114W	0.030489449475355777
YML090W	0.030468264062434837
YOR072W-A	0.030262587501960175
YGR023W	0.03021043196700704
YLR004C	0.030167161778960776
YGL132W	0.030023506646863794
YPL230W	0.02995037145271882
snR13	0.029922785554517845
YNL194C	0.02986037991926439
YEL065W	0.029843936200016102
YLR261C	0.02981265386869101
YDL242W	0.029614320639766684
YER119C-A	0.02954260832362673
YPR204W	0.029490925142635162
YPL021W	0.02938225245230388
YMR251W	0.029329112838748613
YLR106C	0.029222213821182168
YOL085W-A	0.02922032174020464
YER079C-A	0.029188605281116272
YKL177W	0.02908466464798931
YNL141W	0.0290639931935529
