value,dim,ratio
6.170713835328687,1,0.4947727291777144
4.47969869612547,2,0.26075494293227974
1.835757141961986,3,0.04378903695769804
1.5986735350641,4,0.03320890165948996
1.3328125673099267,5,0.02308198206314032
1.1430960327064856,6,0.016978541320027386
1.086785219367511,7,0.01534696092821842
0.9619713884480796,8,0.012024284721838965
0.8390789500399384,9,0.009148304111228247
0.8052799794661148,10,0.008426141441384443
0.7649385465839016,11,0.007603053275076562
0.7095779814151237,12,0.006542371513892437
0.646457536218394,13,0.005430189009011908
0.592844410683896,14,0.004566846352379628
0.57621113406305,15,0.004314179716972797
0.5427567318811166,16,0.0038277659823579844
0.5170500245021797,17,0.0034737620561032336
0.4805136220752388,18,0.003000173349790353
0.477159943092679,19,0.0029584408951690336
0.45365723159886195,20,0.0026741798828215126
0.4382786517953566,21,0.0024959482408985906
0.43184080238545347,22,0.0024231611045336847
0.41996416033257256,23,0.00229170862738881
0.4081009796210814,24,0.0021640645733846985
0.4030503955457486,25,0.0021108318782430417
0.39266377135289016,26,0.0020034412335378756
0.3803210964743957,27,0.0018794716271243075
0.3747736227980598,28,0.0018250424681026832
0.35937191880016744,29,0.001678120790308137
0.35608627195873355,30,0.0016475757936261594
0.3449215609521841,31,0.0015458794595853865
0.33757496220014654,32,0.0014807283667415598
0.3112842434883924,33,0.0012590680904903955
0.30800917382611975,34,0.001232713762487642
0.3031404644557078,35,0.0011940506911437409
0.29174530488058414,36,0.0011059683331583296
0.28256661266545363,37,0.0010374725908683542
0.275304189946705,38,9.84828443375929e-4
0.26218602649558176,39,8.932109211219067e-4
0.25781870111875527,40,8.637016975904639e-4
0.252127779492369,41,8.259929468782831e-4
0.2470971304816592,42,7.933600817602671e-4
0.2266534889341372,43,6.675130463359808e-4
0.22009491614937066,44,6.294409058575693e-4
0.21534841403609675,45,6.02584971775756e-4
0.2132805788333238,46,5.910681562821944e-4
0.20277418238786865,47,5.342693482727215e-4
0.19499855194441543,48,4.940804997455679e-4
0.18345234108426103,49,4.373019938837847e-4
0.17204575032531752,50,3.846120089007473e-4
1.2782933774076726e-13,51,2.123224998342406e-28
2.848335836708798e-14,52,1.0541862056496382e-29
