Sample	Loading
RT13	0.30408647666051875
MT32	0.29113385395173147
RT12	0.2779185901862207
MT9	0.24957360685744598
RT4	0.22402228390366133
MT13	0.21322953708225512
MT1	0.19827873022633086
MT2	0.19040475238191723
MT20	0.1880002468327656
MT14	0.17134474802640262
MT25	0.14142357090993063
RT14	0.12149480601111305
MT26	0.10521768354426778
RT3	0.06436489390495773
MT36	0.05531598876483852
MT24	0.05131821359687497
MT3	0.03521084199100932
RT11	0.02529067745014218
RT5	0.023664368218375743
MT12	0.02033412110115303
MT15	0.017020418261577953
MT35	0.009033887682990573
MT23	-0.0034072702504393997
RT15	-0.008398643924158365
MT27	-0.023945529171360575
MT21	-0.036772428184255045
MT4	-0.04181846815048551
RT2	-0.05021541116260227
RT10	-0.055867880797299783
MT33	-0.05779990187719346
MT16	-0.06220927808037079
MT11	-0.069499563323924
RT16	-0.07301446570305133
MT34	-0.07371822497446841
MT28	-0.07852690106206091
MT8	-0.0799250376465096
MT22	-0.08596469736020655
MT29	-0.10069416410468925
MT31	-0.10447668456364452
RT1	-0.10461045477802623
MT17	-0.12027317487473276
RT9	-0.12750243582235904
MT5	-0.1308091387466883
MT7	-0.13769673197046348
MT18	-0.14105985837131493
MT6	-0.14427719253379448
MT19	-0.14457480662735003
MT10	-0.14547622380300237
MT30	-0.15000582136321125
RT8	-0.17099025244965124
RT7	-0.21325970727564433
RT6	-0.2397691204632385
