Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,8.234777752576385,8.229063184952999,7.810621432539237,7.802434918987681,7.720950822071072,7.596587850532974,7.5956555279323075,7.458655545955648,7.081656388127285,6.781899157690192,7.306812265756542,7.623831913772723,8.003969795637012,8.296956104841511,8.431723236506777,8.537153255446833
YAL068W-A,8.579459004267973,8.539590353603543,8.15850586639082,8.2285243480738,7.987603378214516,7.953083491637555,7.941979684746599,7.683180026863753,7.258064836845685,7.118776621349074,7.626916845781409,7.870604076093235,8.35791825727661,8.594621931393153,8.8262264196688065,8.911242100417693
YAL068C,7.53732815919242,7.464728165325421,7.351257833127392,7.214345323214442,7.191887080838928,6.958893584187514,7.185993652046669,6.848656586626054,6.798890259253464,6.583551815598121,7.099642341514656,7.056223502906502,7.452287920707237,7.550620760573245,7.886972821737694,7.717405545894173
YAL067W-A,7.654414655801415,7.5846632491202675,7.50580953011533,7.315779604317695,7.338771122414454,7.088592477220814,7.264690824446511,6.917608332791496,6.8227215519468,6.652742170723226,7.21431018782142,7.135807772684353,7.484239080439917,7.61833038152861,7.947263870876037,7.812888937108116
YAL067C,0,0,0,0,0,0,0,0,0.9465565683736588,0,0,0,0,0,0,0
YAL066W,0,0,0,0,0,0,0,0,0.9465565683736588,0,0,0,0,0,0,0
YAL065C,7.34579212249518,7.198910562858967,7.216352703613246,7.063421264111772,7.375539687259755,7.383338196293226,7.286409172292997,7.046349306882398,7.342914562251701,7.069020075000548,7.4940004176854815,7.493940570782859,7.57011178961236,7.350140694763618,7.653582719542094,7.374605936785932
YAL064W-B,4.475595652020376,3.945990511501907,3.9613077474888048,4.064677761913996,4.381885191659886,4.332633258272202,4.297170854809585,4.045774696339547,3.706472312025621,3.472020014211476,4.566338208610392,4.312486609130897,4.30924437021817,4.105675322622888,4.286882593689474,3.34538161775577
YAL064C-A,6.897833897508167,7.040120435064107,6.544089947405765,6.676453394675287,6.762891204330937,6.514526765422784,6.576897448209186,6.420071724665137,6.1962694225431,6.163394306819645,6.8387101779976875,6.927956402347552,7.3588661346817705,7.059943568954681,7.075203498063129,7.029051654272145
YAL064W,7.046387746483771,7.172128775731917,7.316498497830658,7.402185591006997,7.106971470476218,6.97117818713756,6.695276446526499,6.917608332791496,6.2499883240700065,6.365347969453098,6.382809094258153,6.90542438003061,6.812252750725067,7.0983895153637615,6.882800158583731,7.3859422453177155
YAL063C-A,8.045971960111098,8.224725686529156,8.088123664665419,8.052684893324903,7.720950822071072,8.083282844085234,8.334855013613167,8.173664696238019,7.749525635358499,7.655221915156857,8.045645706059064,8.111111106479974,8.068622333331435,7.968930061002196,8.069844267273856,8.251329479306989
YAL063C,8.579459004267973,8.423271886452925,8.211493813797544,8.311244807670764,8.343617159010641,8.57686780122873,8.198319082577944,8.364803496628724,7.924911808400575,7.966041494385237,7.99521462035246,8.35925113542261,8.23560557769619,8.31747200716385,8.275880518379894,8.557347811341405
YAL062W,9.645710109860433,9.325164219832077,9.996277816850307,9.813433461412409,9.58652289294029,9.705707478620466,9.31159046859702,9.072563515147811,8.767814652322798,8.488184444287974,8.606562329693773,8.749138839570616,8.758853387328882,9.051811436319564,9.424339617934487,9.410318702866538
YAL061W,10.243327394421284,10.075752425146574,10.72937887102336,10.442382433355144,10.320382197165081,10.210724721040966,10.286406162910213,10.067435070830262,9.38706870815028,9.230563921572355,9.603308269263216,9.593884466586703,9.635843636417382,9.6982132409876165,10.336721078172252,10.179384505227647
YAL060W,9.848699922248771,9.677518896363143,10.220819961296844,9.891683497755754,9.72830469916194,9.7544982189677,9.88515993716223,9.572272107406116,9.215414031287436,9.119724723173778,9.32570007500982,9.26713083171849,9.428139395975988,9.471671390233752,9.79349842654369,9.875971656984085
YAL059C-A,8.891540699731337,8.915593272480951,8.847522646524082,9.031107181420447,9.093593936174114,8.772052862918875,8.794962769213114,8.917074372144057,8.724195110731896,8.582394463498899,8.817179691513568,8.858749463640754,8.74573251756191,8.765626118613667,8.997581338527512,9.067255132210674
YAL059W,9.29737038811622,9.160070637487083,9.143638335560933,9.306733639423978,9.352965055187337,9.141673933044265,9.125307890440872,9.057365470810927,8.93293081996721,8.71771175429483,8.885687398811179,8.902071698525296,9.127925030136488,8.989250907442555,9.325585000666852,9.291776633169338
