Symbol,T1,T2,T3,T4,T6,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,7.746887129072519,6.6692374373190235,8.021087263143176,7.477705346535074,7.977373243838701,7.2384047393250786,7.466717844736419,7.551977949271969,7.290886411367996,7.704519067842509,7.7832505033001524,7.263549269720595,7.803708334589209,7.871227515658559
YAL068W-A,8.12793771245072,6.823068472133134,8.300538858072546,7.911691447476955,8.416438571818519,7.900866807980749,7.941625384837746,8.022581281065204,7.738580565827503,8.198034486931661,8.200682852574394,7.337080315042664,8.20811605568352,8.107332823281363
YAL068C,7.372511832094886,7.8457018884410425,7.318610916223597,7.746411952432298,7.343120161825541,7.7414669864011465,7.917974176776104,7.71778890462061,8.007877268551557,7.5558957683087895,7.750611114715005,7.473772461746993,7.839174750288072,7.619640858722865
YAL067W-A,7.465938837816088,7.8457018884410425,7.327543564195864,7.763818431133004,7.343120161825541,7.754887502163468,7.92984824681698,7.743661730751874,8.032236110196022,7.680787595437969,7.7832505033001524,7.473772461746993,7.839174750288072,7.619640858722865
YAL067C,1.369463385230804,0,0,0,0,0,0.9995536937111937,0,0,0,0,0,0,0
YAL066W,1.369463385230804,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL065C,9.24691661965161,8.84256264239612,8.888509620353673,9.19194952306019,8.560426278150322,8.758223214726724,9.02424852565292,9.20812543729214,9.268664002460453,9.027004656217084,9.403746885973213,8.533662110514202,9.559371282368673,9.037725295431487
YAL064W-B,3.931087331603897,5.047221146814,2.3120300485267538,3.6700864767976937,0,4.247927513443585,4.458579459513194,4.021262709468345,5.257573959941387,3.4866234654109407,4.088773715742901,3.1754390949791755,5.592975331496823,4.14182970814422
YAL064C-A,7.516729160004814,6.851959961934317,6.845704997192239,7.106875690716333,7.494234445375734,7.285402218862249,6.906005286792859,7.260924921185791,7.290886411367996,7.581754060322605,7.298829324786418,6.345975474559838,7.317273321029108,7.276486599144628
YAL064W,5.777348994990279,6.962065863501822,6.6459514060050715,5.866499360138674,7.631010353522418,6.129283016944966,6.265905387713238,6.339799698208247,6.573390742637331,6.2454225195755715,6.405535362883198,6.826326071047202,6.659575505084333,7.023029460673113
YAL063C-A,8.615390103570473,8.222765477663915,8.384258479097962,8.614629699796144,8.416438571818519,8.20945336562895,8.653745493786227,8.753086325781645,8.682307413055822,8.414937979995738,8.815910517846023,8.710090608414859,8.90458716164032,8.855232141485759
YAL063C,9.37631844122563,8.625482713094465,9.307308378080833,9.578770435623507,9.375908750083253,9.523561956057012,9.642964555370156,9.725680546769425,9.48264293340436,9.462382152969045,9.387916469681901,9.637371127421064,9.6217994019204,9.390765379517337
YAL062W,7.426637129194496,7.772031356934221,7.371395555446666,7.68378021647139,8.169302568007836,7.491853096329675,7.330029674167449,7.461331353034495,7.782321247168938,7.817651781032539,7.537557746791818,7.966178953910156,7.672223820828692,7.970352352227086
YAL061W,10.041919278549022,9.528432140338724,9.62606831286965,9.911101969152895,9.295862477473644,9.35974956032233,9.397852264252656,9.112078334917076,9.914751921577443,9.66344655614384,9.820219175009077,9.622742835964528,9.789822558448531,9.644463957615152
YAL060W,10.937870791451552,10.678240509510918,10.616981266205505,10.79126982970214,10.2098950773362,10.122827994807666,9.98637214121395,10.173983084651805,10.606528157912532,10.49236436614871,10.745773018064321,10.301965886859598,10.842417017972668,10.786435240774184
YAL059C-A,8.574020756383254,9.231385578577196,8.817366862619533,8.560876775098142,8.752593594344848,9.194756854422248,9.070571271769248,9.358024679984641,9.12882958480292,9.203925293493777,8.854819279985911,9.074968629339466,8.95395435959454,9.049108444080748
YAL059W,10.509819427278726,10.513959948695087,10.02928774574711,10.346130543872695,10.469081242196529,10.487840033823051,10.401054033323256,10.511748809022311,10.575785846220802,10.42610909603853,10.403993891570332,10.364848363312683,10.623428601771387,10.597787773944592
YAL058W,8.525241688644806,9.269362479055665,8.823694362974669,8.530690328238938,8.867813489891057,9.18239435340453,9.062503999808982,9.332678387838442,9.111786750296021,9.178731172067785,8.854819279985911,9.074968629339466,8.921231299874021,9.049108444080748
YAL056C-A,10.222967914540552,10.221908447340455,10.290265565369195,10.270514842428813,10.1428388859984,10.269126679149418,10.151392876352238,10.115735940972296,10.028096926877247,10.067401867668696,9.99585363320675,9.973421952169353,10.134804098592845,10.07584335715724
YAL056W,10.164443106745493,10.136421907155619,10.019674399927705,10.39721641957029,10.487215866215598,10.31628153174622,10.186460088401786,10.188184700469034,10.191123116267478,10.048981912860235,10.070479703742155,10.073630468939232,10.120461637563263,10.16224510244714
YAL055W,10.886896558399854,10.741367793481865,10.817346363132934,10.814424724100437,10.794451481099967,10.651948610723446,10.65284858234945,10.691983335868503,10.63861359741734,10.58477195653183,10.69414152963394,10.636465096293097,10.733544272185519,10.70602006275239
YAL054C,10.373511305262909,9.83376678957246,9.826834159820761,10.27507424176437,9.92065912795438,9.682994583681683,9.488956451791205,9.415489724740498,9.844273550201633,10.108006502414314,10.464365879687287,10.416648680153903,10.648635335431614,10.24870855172219
YAL053W,10.122015650520382,9.492185782933296,9.635090728052456,9.957224955266364,9.78063335306746,9.634811050171718,9.419068730848458,9.478478023335764,9.70348379298744,9.855869236151017,10.120831494853057,9.827969019490272,10.325056887185406,9.977992206158614
YAL051W,10.780503958496219,10.26551116950439,10.861836355369471,10.956499132810047,10.8654955253523,10.854868383260236,10.937952161707939,10.938723553555555,10.836589507393713,10.733480555894099,10.770403287949646,10.995593331514888,10.8511295016606,10.839844796363106
YAL049C,10.530048860260697,10.243874528353816,10.652960369929666,10.810242291178977,10.65702918588684,10.566054038171092,10.599020666903142,10.500411636590801,10.388002413512123,10.526050597857125,10.535545035581993,10.788377555322528,10.658595992897691,10.597787773944592
YAL048C,10.222967914540552,10.103762661869963,10.405478400687775,10.139961268593058,10.640919559688088,10.208234358339789,10.06115422241778,10.100799143954657,10.10187700756552,10.251848118435108,10.180247905909207,10.546325758116442,10.120461637563263,10.08693082286806
YAL047W-A,10.762202557181638,10.36156426567379,10.823673953200304,11.119176422667042,11.071843295683701,10.887982133058454,10.899219779598258,10.8191017554143,10.743763190828176,10.736361373061742,10.854401599596471,10.907819799066225,10.87695564236731,10.803339103465413
YAL047C,8.836424087414306,9.225877769815538,8.722355608418168,9.19194952306019,9.254109809278178,9.233619676759702,9.048957483718272,9.306878818651507,9.19505625246654,9.455405650268837,9.371910420295356,9.074968629339466,9.516199392735038,9.279190099679955
YAL046C,9.083853188841513,8.43813063654014,8.635106234663372,9.214279385862403,9.166794629670378,9.226412192788786,9.206123080532834,9.501407238699674,9.442311061120902,9.17023440253331,9.419405481787296,8.533662110514202,9.354032079638323,9.049108444080748
YAL045C,9.423665032753906,8.973220835244378,9.142456722132442,9.566424170220799,9.488220613298424,9.487840033823051,9.58030899706819,9.902611351978623,9.80946252227416,9.33133237758363,9.726822926797709,9.09630294018414,9.816759423557805,9.363670056188495
YAL044W-A,9.443490235807062,9.6567803731675,9.469433620090586,9.809998610987494,9.75092018118122,9.851749041416058,9.646566789266604,9.776695462849792,9.773790720736386,9.79637800668723,9.759998766350934,9.890365846076795,9.825627760829429,9.800783116422457
YAL044C,10.801139454592649,10.507164777857485,10.565997619906982,10.92202832095658,10.7043060781595,10.846273911349906,10.737200031782065,10.803811132298621,10.955990476559089,10.549171531076077,10.801607449117665,10.592099299021864,10.991717353517876,10.66960852185354
YAL043C,10.98710526546146,10.92081859033449,10.662699321608866,11.027574620239752,10.879293960326272,10.702172685365548,10.773071127755314,10.708499300110667,11.135353306802386,10.747827459009066,11.060684568134933,10.91384045785784,10.925199608569748,10.959289312884488
YAL042C-A,11.18163019633017,11.11209166782035,10.935260029721306,11.267644685348968,10.9723554942195,10.894817763307943,10.997698115531987,10.769590191175405,11.307391847080186,10.932493950483941,11.12098175969504,10.728151824484884,11.101674341137565,11.01259251899876
YAL042W,10.692117844586866,10.704219995667648,10.462345480956264,10.86772094244391,10.672960911164742,10.704768239362599,10.65284858234945,10.688657332239677,11.013708700978533,10.61639089658478,10.909033843608201,10.807906767658089,10.842417017972668,10.865825948622657
YAL041W,11.083964508417033,11.092553583897294,10.89376227172118,11.240703067312893,10.985173179966743,10.94251450533924,10.992046023665816,10.788356711601734,11.186441848778504,11.034323232746715,11.021036278349316,10.658146640229191,11.183288506260618,10.992096859916039
YAL040C,9.676331126952132,9.523950835244905,8.851829627000912,9.156146160825816,9.414325754011598,9.59618975614441,9.549855225397529,9.659265507025523,9.672824207189482,9.476234757122063,9.363840306816282,8.533662110514202,9.05545173829157,9.336056098282898
