value,dim,ratio
2989.104709018163,0,7697.386168784398
17.426673066134924,1,0.26163147221168964
14.161381169904736,2,0.17277155522573662
13.245152914573678,3,0.15113845236844828
7.921360930454229,4,0.054058080630122185
7.208243742795341,5,0.04476307832071296
7.068558199935079,6,0.043044998201792986
6.807011679715364,7,0.03991848121294934
6.533617841459919,8,0.03677633736273334
6.182183016733524,9,0.032926436641742676
6.089361355233899,10,0.03194511906502345
5.799008820710769,11,0.02897133822760882
5.74599316852783,12,0.028444036568152403
5.53921719762603,13,0.02643369086742258
5.430608778686649,14,0.02540727289647647
5.026841786059098,15,0.02176965019938821
