Sample	Loading
T13	0.40485935407607704
T1	0.32100741598143717
T20	0.3183503602597016
T25	0.30542544974052427
T8	0.27022083810160386
T19	0.13889134387899868
T32	0.1352688876684855
T7	0.13192196488397753
T31	0.11533047847609419
T24	0.07801833181194276
T36	0.05151961982517098
T5	0.046780032078599904
T21	0.042849110349649465
T6	0.01511634187508372
T33	0.014025371307084108
T23	-0.030943021886305003
T18	-0.04013292671194673
T16	-0.04468614120472073
T35	-0.04752394585850078
T4	-0.07134338047946959
T30	-0.07257354915904116
T17	-0.07333096697583329
T27	-0.08777295631954941
T2	-0.09513780878748816
T22	-0.10014295671110185
T28	-0.10474286278821493
T26	-0.11422123202423998
T14	-0.11979850800600765
T3	-0.12093029443487302
T34	-0.1260228208364192
T29	-0.1302514931565494
T11	-0.13160017572348182
T12	-0.14429743684016863
T15	-0.14805406629362794
T10	-0.2114663823362499
T9	-0.37940454905961934
