Sample	Loading
T11	0.30504960511712376
T24	0.30381435181273364
T21	0.30105410288234175
T22	0.2856991694582748
T10	0.27259850464791663
T23	0.2644130052750387
T12	0.24011505943987546
T9	0.2053940658043911
T13	0.08387015844832249
T15	-0.051211571957336784
T19	-0.05830658093634396
T20	-0.08614558282523362
T16	-0.09822727535630082
T8	-0.10132095344587719
T14	-0.10534824455329483
T17	-0.12393408648055629
T18	-0.16261969659894282
T3	-0.16762053978205763
T7	-0.17347754467007936
T5	-0.18273379839269255
T6	-0.22058551820639336
T1	-0.22318586464939694
T2	-0.22475602899122077
T4	-0.25387943659144446
