value,dim,ratio,cum_ratio,distance
565.6795185442589,0,700.0331369839672,NA,NA
12.729052797161673,1,0.35446214795797415,0.35446214795797415,0.9774977661734703
8.115398857654556,2,0.1440779193648921,0.49854006732286626,0.36245068765335553
6.698009076758539,3,0.09814521995530133,0.5966852872781676,0.17465435843108512
5.21116900694538,4,0.05940842048568565,0.6560937077638532,0.2219823910021791
4.961510839215956,5,0.05385246388498868,0.7099461716488419,0.04790828457044538
4.565080101891451,6,0.045590514557665426,0.7555366862065074,0.07990121359629054
4.36722691585985,7,0.04172431399807042,0.7972610002045777,0.0433405726987407
3.659304988416977,8,0.02929374552991888,0.8265547457344966,0.1620987278842808
3.5029210155691826,9,0.026843452908769133,0.8533981986432657,0.042735976734053605
3.1378976833798764,10,0.021540473530968038,0.8749386721742338,0.10420541330133137
2.9793690358673115,11,0.019418974389985747,0.8943576465642196,0.050520655390462355
2.7982614808723696,12,0.017129878309856808,0.9114875248740764,0.06078721796953246
2.664577708877805,13,0.015532253498628242,0.9270197783727046,0.04777386706294806
2.3430807956980932,14,0.012010254717796973,0.9390300330905016,0.12065585931630085
2.239463225378314,15,0.010971488686572411,0.950001521777074,0.04422279014450614
2.1669292169690824,16,0.01027228688087168,0.9602738086579456,0.03238901518330506
2.0525577185212667,17,0.009216551328585126,0.9694903599865308,0.052780449657598316
1.9548097333078305,18,0.008359622664492177,0.977849982651023,0.04762252692404534
1.6978098836366102,19,0.006306026683539399,0.9841560093345624,0.13147051873756432
1.5635639539106154,20,0.0053482166125511784,0.9895042259471135,0.07907006021101004
1.3525396987172889,21,0.004002005961938921,0.9935062319090524,0.13496362247641724
1.2462601007489815,22,0.0033977785601742943,0.9969040104692267,0.07857780297990513
1.189627231908718,23,0.003095989530773208,1,0.04544225463547147
