Sample	Loading
T15	0.2983964746151792
T16	0.24659372284986578
T3	0.21887806832276224
T19	0.2180683565900255
T18	0.20871515544673264
T23	0.1470833300877339
T5	0.13774590242922885
T11	0.11860835801459382
T24	0.0972149338260478
T17	0.08927100625981864
T4	0.08540832151136625
T12	0.02565274462918214
T14	0.006656083749064945
T20	-0.021482501198213152
T8	-0.06376164646557428
T9	-0.08157581044418374
T7	-0.09237061324520794
T21	-0.12480685249363778
T13	-0.12614440855408973
T2	-0.13252295468485514
T6	-0.17519449609371013
T22	-0.18604833001750976
T10	-0.201048133195247
T1	-0.6756791633757483
