Phase,T1,T3,T4,T8,T9,T10,T11,T12,T13,T15,T16
1A,0.6425415538011794,0.5894548239941472,0.7376175749657721,0.9844941300905727,0.9877437560051587,1,0.9625845406356306,0.8116494480169016,0.7517986473487663,0.7049736657372419,0.722327672111507
1B,0.4321832887974322,0.25502483710464147,0.33966430328670816,0.15636593066692703,0.1455366045792052,0.17324807337433384,0.2829604181645201,0.3793117302251034,0.4139573213332355,0.5112590581218464,0.40225511731070507
2A,0.4662433722578567,0.383725222478766,0.5079193545705716,0.5403371187343622,0.5193137477933953,0.5156511540724125,0.5122574529888236,0.4805400373815877,0.43587819157045193,0.45639670980128944,0.4573480345571648
2B,0.1358856653959319,0,0.07786608818771223,0.22535000147985348,0.24681109100317924,0.29658672837346195,0.3501540112949046,0.2924667834314433,0.2901980141484009,0.2946086387751527,0.22186664704246928
