Phase,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
1A,0.2508056041442162,0.2749621685648487,0.5198777245898101,1,0.8116548520258209,0.3171961730622183,0.31323449404111636,0.2518833251211884,0.2885800655653896,0.2630464630113014,0,0.07090128045838401,0.18027304272735503,0.11184498636720322,0.13901296097806473,0.1688263828685391
1B,0.5369960470074765,0.5201506866337344,0.42814602630527887,0.030838649725062253,0.027461312200337203,0.32765655414998374,0.30823162019428657,0.29757662076980584,0.36042280338590615,0.40711019624116423,0.5618391529590077,0.539802267174325,0.5534372895435293,0.6389325611427453,0.68955850045823,0.6731289693731131
2A,0.32035652782987933,0.3071804249262875,0.45855347610254754,0.690543453473593,0.4321745252975636,0.08848336837841624,0.08875698387395807,0.04776025823210406,0.16732796911925732,0.19144085738926073,0.09183249029400856,0.18212754740684745,0.262597223216067,0.24844629375658994,0.2839573269251601,0.32237881533755436
2B,0.39574604944610586,0.38147517035253564,0.396988276184512,0.3187240659482406,0.41519183022462636,0.5719606158268841,0.5337847503923104,0.5089350510513027,0.4904339815793873,0.4857128564979603,0.44383590930404326,0.3875083336302001,0.41771216804934796,0.427613267576047,0.44986125961284795,0.4109029512289425
