Phase,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
1A,0.8938965465834685,0.9339540680858416,0.8539225882366183,0.8417773569943303,0.8722695983037534,0.8651768846165788,0.8714227631415258,1,0.9761627307243737,0.8562315302791491,0.8984179597524276,0.9658725608350501,0.9755695574792149,0.968038947378968,0.951395900853603
1B,0.06316318811003777,0.27250567900961187,0.49455234163449885,0.5610853537331234,0.5064310806663679,0.464891018894906,0.4642317363633835,0.5778291953889824,0.49287994196002666,0.28427913064435895,0.2487737685154996,0.18470836559830706,0.15003450627232812,0.022855096931715047,0
2A,0.47658275170480985,0.557294627360868,0.5658385639390935,0.6073861900109669,0.6311199078069496,0.6072932755699265,0.5925826167346885,0.7358110366574652,0.6959640334160296,0.5447463727686428,0.5665028097370608,0.5991149015455726,0.5950491392905181,0.5314767625023372,0.5019170931245872
2B,0.19227094203003017,0.3069763537635465,0.39350207231209744,0.4509499494947026,0.3492282798284067,0.29304796851657317,0.275593112571295,0.42056468011491066,0.32228761593467575,0.15065768518637285,0.21440560970232758,0.22945863114059217,0.22837481986396174,0.21161679959173138,0.2195108431072254
