Phase,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
1A,0.43010717424515615,0.43077981151943384,0.3930471574232925,0.5173130165629108,0.7934913034848889,0.8047580599001651,0.7905788202390617,0.8321669614343251,0.8432106488712451,0.7829719967094818,0.7442416793576241,0.7097671599789457,0.49572702853144746,0.3432910568711468,0.49135842504525723,0.37657419177287543
1B,0.5747818498158721,0.5226280580033603,0.47272281145711054,0.502653472798585,0.386558281717428,0.36216850782825943,0.3023634832884533,0.31209216500234943,0.3276618357239499,0.2615637921115343,0.3378623720532989,0.562932393346343,0.5471891912437387,0.5021714079038619,0.5559577942955776,0.5617302618330688
2A,0.1818765942349493,0.185632947955677,0.14566994325238763,0.26960043251962984,0.46259336225877384,0.4582139216045096,0.3769043165179064,0.3723465695743905,0.3689848853060347,0.26618668515643945,0.23060378758371025,0.29253191400143813,0.13271183534082176,0,0.1765003012277343,0.10134488169507823
2B,0.8091391546862108,0.7512906762642813,0.7011779638048427,0.7199191310029259,0.7064806582459457,0.732593599645335,0.7518310413596117,0.8440189872385182,0.8672418113308535,0.8640710450087516,0.9046253067674497,1,0.9100383846198374,0.8247901436385644,0.8600905005349047,0.8138034327484797
