ID,Symbol,GeneTitle,Loading,p value
YOR161C,PNS1,pH Nine Sensitive,0.0354612082045975,0.06514
YPR149W,NCE102,NonClassical Export,0.0353600431416634,0.04509
YAR035W,YAT1,NA,0.0352569232333196,0.07951
YPL186C,UIP4,Ulp1 Interacting Protein,0.0352451898360334,0.07011
YMR105C,PGM2,PhosphoGlucoMutase,0.0349911246353316,0.03279
YMR169C,ALD3,ALdehyde Dehydrogenase,0.0349416529470204,0.12583
YIL155C,GUT2,Glycerol UTilization,0.0348767805573783,0.02094
YDR223W,CRF1,Co-Repressor with FHL1,0.034835232427209,0.06785
YPL092W,SSU1,Sensitive to SUlfite,0.0347691111186509,0.09259
YOL126C,MDH2,Malate DeHydrogenase,0.0346324711829768,0.04741
YBR072W,HSP26,Heat Shock Protein,0.0346256704141684,0.20929
YPL113C,NA,NA,0.0345933650822807,0.04961
YML089C,NA,NA,0.0345883218381526,0.16918
YBR214W,SDS24,homolog of S. pombe SDS23,0.0345197667587621,0.0201
YNR002C,ATO2,Ammonia (Ammonium) Transport Outward,0.0344713054674861,0.10354
YEL057C,SDD1,Suppressor of Degenerative Death,0.0343085120626414,0.03701
YKL107W,NA,NA,0.0340208869130722,0.21201
YJL144W,ROQ1,Regulator Of Quality control,0.0337574049014404,0.17445
YBR169C,SSE2,Stress Seventy subfamily E,0.0337190595735595,0.24115
YPL230W,USV1,Up in StarVation,0.0337083657540155,0.10861
YBR126C,TPS1,Trehalose-6-Phosphate Synthase,0.033589478248942,0.02632
YHR096C,HXT5,HeXose Transporter,0.0334317737417134,0.1093
YKR076W,ECM4,ExtraCellular Mutant,0.0331245786168253,0.09448
YGR230W,BNS1,Bypasses Need for Spo12p,0.0330898286370464,0.09996
YGR067C,NA,NA,0.0330532726579504,0.30685
YKL091C,NA,NA,0.0328354388816046,0.03783
YER150W,SPI1,Stationary Phase Induced,0.0327249739556296,0.07994
YHL032C,GUT1,Glycerol UTilization,0.0326741350683491,0.10268
YLR205C,HMX1,HeMe oXygenase,0.0326215102646627,0.14817
YNL200C,NNR1,Nicotinamide Nucleotide Repair,0.0325445065668792,0.10381
YPR026W,ATH1,Acid TreHalase,0.0325135102740055,0.01962
YFR017C,IGD1,Inhibitor of Glycogen Debranching,0.0324489345299337,0.02898
YLR348C,DIC1,DIcarboxylate Carrier,0.0322076430134384,0.13715
YGR243W,MPC3,Mitochondrial Pyruvate Carrier,0.0321949496777698,0.11268
YKR067W,GPT2,Glycerol-3-Phosphate acylTransferase,0.0319998863034997,0.0821
YPR002W,PDH1,prpD Homolog,0.031789894318663,0.25495
YOR084W,LPX1,Lipase of PeroXisomes,0.0316432490728058,0.06064
YOL083W,ATG34,AuTophaGy related,0.031547613665534,0.07489
YMR031C,EIS1,EISosome,0.0314889488006263,0.02558
YPR184W,GDB1,Glycogen DeBranching,0.0312421990941036,0.03748
YJL163C,NA,NA,0.0312360602926651,0.04069
YJL089W,SIP4,SNF1-Interacting Protein,0.0311980287576375,0.0665
YGR086C,PIL1,Phosphorylation Inhibited by Long chain bases,0.0311479207539139,0.0335
YGL156W,AMS1,Alpha-MannoSidase,0.0311145664782605,0.08442
YFR015C,GSY1,Glycogen SYnthase,0.0310582280623849,0.16865
YKL151C,NNR2,Nicotinamide Nucleotide Repair,0.0308887452642455,0.04254
YBR280C,SAF1,SCF Associated Factor,0.0307879408978727,0.02789
YGL037C,PNC1,Pyrazinamidase and NiCotinamidase,0.0307793937112146,0.03771
YPL158C,AIM44,Altered Inheritance rate of Mitochondria,0.0307287598790008,0.19164
YJL164C,TPK1,Takashi's Protein Kinase,0.0305602280969812,0.04449
YBR230C,OM14,Outer Membrane Protein of 14 kDa,0.0305272717816972,0.01789
YGR044C,RME1,Regulator of MEiosis,0.0303998995117085,0.1566
YBR026C,ETR1,2-Enoyl Thioester Reductase,0.0303465688476351,0.08508
YJL045W,SDH9,Succinate DeHydrogenase,0.0303417600224157,0.30091
YJL217W,REE1,REgulation of Enolase,0.0303228618781856,0.18594
YEL011W,GLC3,GLyCogen,0.0302654496542123,0.05447
YCL040W,GLK1,GLucoKinase,0.0299098198742576,0.04731
YOR180C,DCI1,"delta(3,5)-delta(2,4)-Dienoyl-CoA Isomerase",0.029840572706684,0.06055
YNL160W,YGP1,Yeast GlycoProtein,0.0297885525771112,0.25489
YDR111C,ALT2,ALanine Transaminase,0.0295761795236947,0.16528
YLR174W,IDP2,"Isocitrate Dehydrogenase, NADP-specific",0.0294826880773047,0.08751
YIL107C,PFK26,6-PhosphoFructo-2-Kinase,0.0294816348591323,0.03532
YMR250W,GAD1,GlutAmate Decarboxylase,0.0293756504279038,0.1054
YGR146C,ECL1,Extends Chronological Lifespan,0.0292757447513772,0.04195
YJR096W,NA,NA,0.029221440106529,0.05531
YDR380W,ARO10,AROmatic amino acid requiring,0.0291193704498054,0.10323
YER024W,YAT2,NA,0.0291060413070097,0.14421
YLR109W,AHP1,Alkyl HydroPeroxide reductase,0.0290085517951177,0.09384
YPL036W,PMA2,Plasma Membrane ATPase,0.0289698478173184,0.30832
YLR312C,ATG39,AuTophaGy related,0.0289526110100733,0.03511
YLR327C,TMA10,Translation Machinery Associated,0.0289039471094468,0.07488
YBR285W,NA,NA,0.0288692511562837,0.16119
YNL115C,NA,NA,0.0287507857230672,0.07248
YOR120W,GCY1,Galactose-inducible Crystallin-like Yeast protein,0.0287214402424653,0.10802
YIL045W,PIG2,Protein Interacting with Gsy2p,0.0286910319338107,0.10837
YGR289C,MAL11,MALtose fermentation,0.0286720155085694,0.21285
YOL032W,OPI10,OverProducer of Inositol,0.0286261177361225,0.03876
YIR036C,IRC24,Increased Recombination Centers,0.0286251041338902,0.0705
YHR104W,GRE3,Genes de Respuesta a Estres (stress responsive genes),0.0284041304316384,0.03799
YJL048C,UBX6,UBiquitin regulatory X,0.0283203833535659,0.04799
YEL041W,YEF1,NA,0.0282968350725823,0.09931
YLR164W,SHH4,SDH4 Homolog,0.028140363482515,0.18431
YGR130C,NA,NA,0.0278907661469881,0.01223
YBR038W,CHS2,CHitin Synthase,0.02787483261778,0.2667
YMR110C,HFD1,Homolog of Fatty aldehyde Dehydrogenase,0.0278370945153928,0.06648
YBR149W,ARA1,D-ARAbinose dehydrogenase,0.0277699316815962,0.03734
YBR085C-A,NA,NA,0.0276620960612943,0.03295
YGR161C,RTS3,NA,0.027623996529604702,0.0939
YDR536W,STL1,Sugar Transporter-Like protein,0.0276042726377977,0.27642
YER103W,SSA4,Stress-Seventy subfamily A,0.027503148671949,0.26674
YJL153C,INO1,INOsitol requiring,0.0274912079844623,0.24241
YLR377C,FBP1,"Fructose-1,6-BisPhosphatase",0.0274224941942008,0.07799
YDR034W-B,NA,NA,0.0271760842956903,0.16622
YNR067C,DSE4,Daughter Specific Expression,0.0271433602550627,0.36436
YDR018C,NA,NA,0.0270906179342446,0.02093
YMR262W,NA,NA,0.0270750759662364,0.03208
YHR171W,ATG7,AuTophaGy related,0.0270684983429703,0.04793
YMR206W,NA,NA,0.0269465657140864,0.09625
YMR032W,HOF1,Homolog Of cdc Fifteen,0.02688396837319,0.2467
YML131W,NA,NA,0.0267287080470966,0.09589
YIR014W,VLD1,Vacuole Localized Dsc protein,0.0267224159988982,0.03028
YKR049C,FMP46,Found in Mitochondrial Proteome,0.0267184881437877,0.07218
YBR067C,TIP1,Temperature shock-Inducible Protein,0.0267096925367577,0.10413
YBR241C,VVS1,Vacuolar protein Vital for Stress response,0.0266221085900202,0.13422
YBR046C,ZTA1,ZeTA-crystallin,0.0266221055917573,0.09079
YNL173C,MDG1,Multicopy suppressor of Defective G-protein,0.0265945627822632,0.07574
YPL123C,RNY1,RiboNuclease from Yeast,0.0265677780284459,0.04834
YDR055W,PST1,Protoplasts-SecreTed,0.0265476560215503,0.30861
YKR058W,GLG1,Glycogenin-Like Gene,0.0265171328386655,0.03628
YMR118C,SHH3,SDH3 Homolog,0.0265027647707347,0.31426
YDR358W,GGA1,"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein",0.0264708281838007,0.04726
YBL078C,ATG8,AuTophaGy related,0.0264590433186056,0.03939
YIL113W,SDP1,Stress-inducible Dual specificity Phosphatase,0.02643703676401,0.04253
YMR297W,PRC1,PRoteinase C,0.0262524172013833,0.02942
YPL119C,DBP1,Dead Box Protein,0.0262410937933144,0.10672
YOR028C,CIN5,Chromosome INstability,0.0259812720076852,0.13252
