ID,Symbol,GeneTitle,Loading,p value
YPL223C,GRE1,Genes de Respuesta a Estres (spanish for stress responsive genes),0.0937465597745123,0.02457
YBL075C,SSA3,Stress-Seventy subfamily A,0.0773994715680099,0.14525
YPL276W,NA,NA,0.0757347602190875,0.04203
YNL014W,HEF3,Homolog of EF-3,0.0738625655835299,0.0451
YBR117C,TKL2,TransKetoLase,0.0669586305616351,0.22347
YPL036W,PMA2,Plasma Membrane ATPase,0.0631886836700075,0.026
YMR175W,SIP18,Salt Induced Protein,0.0629809901208366,0.2381
YBR116C,NA,NA,0.0628509800638609,0.23866
YNR067C,DSE4,Daughter Specific Expression,0.0614342178850589,0.21621
YOR388C,FDH1,Formate DeHydrogenase,0.0611669895138549,0.05646
YHR143W,DSE2,Daughter Specific Expression,0.0584834419284038,0.16486
YGR088W,CTT1,CaTalase T,0.0577283322765808,0.29763
YLR286C,CTS1,ChiTinaSe,0.0575566159884788,0.22116
YNL327W,EGT2,Early G1 Transcript,0.0568140888097667,0.30194
YMR303C,ADH2,Alcohol DeHydrogenase,0.0551192240063044,0.10228
YBR054W,YRO2,NA,0.0540799750990665,0.18994
YDL223C,HBT1,HuB1 Target,0.0532294766525342,0.25626
YOR338W,NA,NA,0.0531774528187838,0.02949
YDL222C,FMP45,Found in Mitochondrial Proteome,0.0507952451334368,0.21572
YDR070C,FMP16,Found in Mitochondrial Proteome,0.0493268094850842,0.15267
YGR256W,GND2,6-phosphoGlucoNateDehydrogenase,0.048401684412732,0.13553
YMR118C,SHH3,SDH3 Homolog,0.0483453502745124,0.11349
YIL160C,POT1,Peroxisomal Oxoacyl Thiolase,0.0478144709825562,0.05211
YER096W,SHC1,Sporulation-specific Homolog of CSD4,0.0470124906949964,0.01328
YJL045W,SDH9,Succinate DeHydrogenase,0.0465548140471681,0.16743
YGR236C,SPG1,Stationary Phase Gene,0.0453073613083799,0.19216
YGR043C,NQM1,Non-Quiescent Mutant,0.0450860164217926,0.03982
YNL065W,AQR1,Acids Quinidine Resistance,0.0445058987824685,0.0598
YBR116C,NA,NA,0.043445436261701303,0.32257
YNL066W,SUN4,Sim1 Uth1 Nca3,0.0434364449983926,0.18238
YMR174C,PAI3,Proteinase A Inhibitor,0.0430603213854728,0.11444
YDR256C,CTA1,CaTalase A,0.0428674168317221,0.10794
YGL028C,SCW11,Soluble Cell Wall protein,0.0425699502549657,0.14111
YKL163W,PIR3,Protein containing Internal Repeats,0.0423317670745142,0.04425
YNL112W,DBP2,Dead Box Protein,0.0421180323234723,0.03443
YDR055W,PST1,Protoplasts-SecreTed,0.0421041946086583,0.31306
YER124C,DSE1,Daughter Specific Expression,0.0415282836345961,0.09495
YGR280C,PXR1,PinX1-Related gene,0.0410956253263489,0.2138
YGR159C,NSR1,NA,0.0410343330503102,0.17804
YKL164C,PIR1,Protein containing Internal Repeats,0.0407211647372799,0.36066
YER062C,GPP2,Glycerol-3-Phosphate Phosphatase,0.0404231327194403,0.04289
YMR107W,SPG4,Stationary Phase Gene,0.0403605115147298,0.04789
YNL112W,DBP2,Dead Box Protein,0.0399427363091393,0.03149
