Symbol,T1,T3,T4,T8,T9,T10,T11,T12,T13,T15,T16
YAL069W,7.508210283727701,6.437016367930005,6.615428350621388,6.350042826044062,6.627999244293414,6.934247604420894,5.892486735704977,6.5380791663411415,6.746389523381166,6.914561535721801,6.8025362121343615
YAL068W-A,5.555518074665657,6.913413396615824,5.194777176007917,5.607263261541758,5.831542848978034,5.6967330382516055,5.372725700483947,5.702448677780778,6.279513223346429,5.751251491082839,5.648676803263444
YAL068C,7.003944505521468,6.345016601338789,7.2015109699543,7.10097755984726,7.506430944864761,6.838845620649257,7.46116691016493,6.589992034549051,7.246891570697875,7.343181688121961,7.132448208675463
YAL067W-A,4.490621356789234,4.748000388395155,5.242373164096542,5.384896763006228,5.043064457888459,5.8016600507277,5.718773264073956,5.60489061449876,4.939389014957724,4.849158495161874,3.732468632783406
YAL067C,0,0.9200018798555106,1.1560509920979434,0,0.999314546341897,0,0,0,0,0,0
YAL066W,0,0,0,0,0,0,0,0,0,0,0
YAL065C,6.251393290196354,4.969565133480386,6.1502055743612765,5.773896163047476,6.14839520855537,5.899470405932522,6.2312803023998855,4.819598994709917,6.492660196813924,6.578921693699139,6.142694120393734
YAL064W-B,9.816438403085073,9.333399183041285,9.618366809176155,9.41236917593375,9.526107631838023,9.724799654580952,9.798531653082385,9.69413822402443,9.887464517894283,10.036083686870052,9.613937330958104
YAL064C-A,6.130218875087738,4.748000388395155,4.7440419807994,4.850641676292647,5.127950979983016,5.178528103918149,5.655887562250259,4.634234001126616,5.155048799069412,5.103826478517725,5.3913824930105845
YAL064W,2.4862067511081007,3.846168974867445,3.591702702463028,3.8997965232250165,3.5837055867982563,3.141698617092579,3.319794454009212,2.1390865741393017,3.868382221263396,4.70270618312532,4.1201127202386605
YAL063C-A,6.820268576428421,6.312998416790739,6.5412508288183595,6.70671597899949,6.831530815049605,6.788669587563269,7.221646639070551,6.988443115711168,6.976339245475823,6.880898906748124,7.089691040439184
