Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,7.266786540694901,7.355527907670729,7.467988469312048,6.957092718402124,7.299710618468066,7.134411914423149,7.149948237170287,7.221859935258534,7.1645510055896695,7.426979157253696,7.461184211663914,7.715705344798728,7.579570405402918,7.514285866196956,7.243857446516272,7.69647614932934
YAL068W-A,6.6293566200796095,6.4356057007325065,6.456439704516615,6.420482640293207,6.43732934910516,6.281295752702168,6.549517503625957,6.60462705847721,6.512738593524417,6.903163062601947,6.7523270522936825,7.164813874111568,7.3069731733048,6.740834327009923,6.858100478146789,7.468192962990908
YAL068C,6.149747119504682,6.269931660523587,6.310650633310111,6.0386326597637225,6.3702273439133545,6.415285253960885,6.295739335982335,6.953399357342763,6.81936767261546,6.603410052402058,6.14170940195691,6.667441204238133,6.675825891688424,6.108927233797684,6.93147912574301,6.752983221694368
YAL067W-A,2.584962500721156,3.5152556196295177,2.813320758576774,3.2801530629032074,4.226754647149971,2.679631509385868,4.179816154752145,4.41124754000045,4.499787947926821,3.9972882879120952,3.7005456404778694,3.972823688672115,3.427356807082557,4.061495732641306,3.5351808209322804,4.589254995713756
YAL067C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL066W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL065C,7.562242424221073,7.675693071532178,7.344982646817983,7.453614648558947,7.437201340884849,7.873930340315779,7.6324697386159635,7.69749339195745,7.7289605375906865,8.04463173131512,8.04996286530035,8.071560534662204,7.694467338979433,7.670654381866355,7.632876013593824,7.58228174846595
YAL064W-B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL064C-A,4.954196310386875,4.517990913172271,4.254519900051688,4.6948148906379235,5.437585331476873,5.602317811955591,5.533806013851056,5.030485355085237,5.090520648219788,5.520732227743372,5.579051061430508,6.05725481724805,6.259754325533993,5.771636713435538,5.488169362905667,5.595662349919259
YAL064W,5.584962500721156,5.645001250099664,5.621525932684682,5.437227974349396,6.147879620806966,6.261096608842816,5.654118394608488,6.0910390255658795,6.12284435573596,5.767234291050282,6.116976853161253,6.634977508498415,6.412171134674926,5.839120652080293,6.029333240219376,6.466445975779255
YAL063C-A,6.845490050944375,6.718906655563517,6.82195912145141,6.788618400198577,6.532470241302979,6.839775331196516,6.964583050439627,6.60462705847721,6.4925001812461645,6.603410052402058,6.845603802014799,6.944096192420462,6.913334874481343,6.842997240932667,6.904397608387253,6.68650583437962
YAL063C,6,5.991042712495658,6.046867937242732,6.193901822451422,6.65028793405888,6.359377714374604,6.868361932286821,6.968077567990118,7.072111852451857,6.9662085477360405,6.961274086082341,6.760666701889969,6.998374071122436,6.448440882926475,6.800508501421011,7.1107682494271085
YAL062W,10.499845887083206,10.44818484262716,10.501008467512493,9.77100063741547,9.463502437033,10.52325111961255,9.958827551242438,10.11788421156506,10.10830053534203,10.193272784021817,10.735670705459983,10.552358178393844,10.402715998464322,10.496954959691967,10.59931758349117,10.671167281559777
YAL061W,10.875749351420055,10.761693068400465,10.419522502894353,9.086917600034086,9.571995455646187,10.351194402630075,10.144887917572301,10.17277137688796,10.16054313437224,10.436420872967739,10.754835196343434,10.694999971352505,10.838141308059818,10.946583732978793,11.026211586692959,11.039854627379011
YAL060W,10.759888183221834,10.759089643088565,10.650268486451623,10.129543586138682,10.43606433034729,10.895816133757211,10.656122799312168,10.791760928574098,10.805292099646127,10.891818360471438,11.167658291082983,10.70773792147777,10.636241125406082,10.820771566538392,10.809158696813588,10.828765218485438
YAL059C-A,9.60917873814198,9.849124089825066,10.18112842553851,11.336921152585196,10.620610017665546,9.257345946088286,9.339129581158899,9.229899296716479,9.352128986727633,9.400275833043494,9.024146029956116,9.354575619457643,9.443497869673271,9.43663915370602,9.48843620217472,9.518096436856792
YAL059W,9.375039431346925,9.570982101393799,10.070615981537534,11.25036080776089,10.497293304507243,8.939188859449214,9.030041505536019,9.00993528934612,9.039846350231517,9.225759083140698,8.6760715012405,9.003625153763663,9.260503962195692,9.124728147953425,9.272443162177947,9.447088577759333
YAL058W,10.221587121264806,10.273127110440285,10.411881289608912,10.617349074748105,10.348346127838587,10.19226397968048,10.190370975430342,10.077843344638547,10.1541153345625,10.079544202332636,10.007702609699168,10.270048713478191,10.236170092886054,10.243490777951497,10.190440591438486,10.148663510536954
YAL056C-A,8.89178370321831,8.88452418273887,8.796801707041427,8.495007784695403,8.433033116546524,8.770822251263704,8.80810896016572,9.038032252790687,8.993793648458812,9.06512319933056,9.371237776079392,9.182744155928495,9.13779253655319,9.066082976207774,8.977757973302861,9.162216825106473
YAL056W,10.216745858195306,10.148697099698486,9.90992849451283,8.944717468327031,9.27917360631453,10.108540350976023,10.004814087803375,9.915045983066655,10.015610702848905,10.03612701991498,10.477265782489084,10.313005344177435,10.051179016399603,10.18633205785344,10.209004509229437,10.19273848502103
YAL055W,10.64565843240871,10.611996192850746,10.449688958651492,9.686336385217693,9.890554412615161,10.31368590088874,10.146170891706499,10.076150614696482,10.16054313437224,10.092318592787782,10.258680689068276,10.401306543696165,10.287760809057549,10.416393873909055,10.479807645499864,10.521886175258821
YAL054C,10.320800548881637,10.097405874933129,9.735210238016625,7.494027996923596,7.810630539964354,8.199943154928768,8.267824626992315,8.438719204841718,8.838100649563291,9.32289912833896,10.486949690449025,9.948742900157143,10.333484437946213,10.494340823343805,10.470605391657093,10.372637252462535
YAL053W,9.935165049603695,9.975612360532773,10.528357167452423,11.093171386135035,10.079637876152113,9.614566963734825,9.798361636723172,9.694479648945913,9.723851305464041,9.742184726452153,9.720187824189253,9.314138996656412,9.67638775291299,9.953037545426177,10.107776281196443,10.170109250561522
YAL051W,9.821773981970567,9.868577361638856,10.042849924114456,9.58941478277509,9.881547068510898,9.959818998785927,9.799992735637808,9.707659269329616,9.789604940447166,9.82785205303988,9.860891241071256,9.995841744112006,9.937334585388404,9.93772550985824,9.87418161956357,9.93800963064852
YAL049C,8.154818109052105,7.900231142173397,8.15769606975461,8.26912912006316,8.481529512181753,8.663336766246333,8.654300986492043,8.667279347955102,8.70371589987582,8.92932800519233,9.073184955419698,9.056673193363153,8.741192710895616,8.551154395044268,8.561508649328744,8.413633272535634
