Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,7.811429848872438,7.805744859268851,7.394053362402807,7.4203280930603706,7.380015645617487,6.993326352346754,7.110379866010486,6.903597527522848,6.618185221822921,6.462924841019649,6.934407671388917,7.343871170047317,7.688301608953668,8.00540600176816,8.035574060206681,8.008409716655207
YAL068W-A,7.717536349512227,7.692318528384304,7.174501983259717,7.2241167780884314,6.998512079022895,6.9684340123336534,6.899879681861127,6.40340658759009,6.19387459955901,6.345035104718792,6.79227531733299,7.0771977059684925,7.431360459187099,7.852232153068864,7.826683237407383,8.122315451054504
YAL068C,7.1742011447426925,7.187259082522055,7.103623847112352,6.880555543371175,6.884984651660895,6.630465930095044,6.899879681861127,6.2583901266829915,6.453620670093683,6.2563777097202795,6.802905301806472,6.803240531642894,7.219695835157999,7.270387950928502,7.694738472832536,7.43362034212059
YAL067W-A,4.44355599674423,4.438108470365379,4.37762706630784,4.741039105911611,4.559382491149459,4.439953217314657,4.466251548479383,4.874425033108472,4.532499860047374,4.24765430735932,4.969366639750358,4.342912113587267,4.8031750854337085,5.150218665585588,4.7940501702223965,4.2861467363448345
YAL067C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL066W,0,0,0,0,0,0,0,0,0.9728663201711009,0,0,0,0,0,0,0
YAL065C,5.44168510364387,5.497423346559686,5.4443552965781405,5.3782778727284875,5.985474807821925,5.822130669247349,5.433242904602181,5.226023658141746,5.438305997868856,5.262175415265153,6.002576261167751,6.171518499015095,6.057776236880423,5.721575203681897,5.767811917762413,5.391856174643268
YAL064W-B,1.5296726834141174,1.9334299445331808,0,1.5753893251343576,1.6554919808009354,0,1.1193283201982416,0,0,1.6212937227104343,2.56511074838028,1.5997200050362177,2.3802010590339595,1.9545563218491389,1.4464429453953334,1.8656397913753222
YAL064C-A,5.618346837241369,5.3720670177932,5.23290684039116,4.940278855039765,4.559382491149459,5.478628908482459,4.92179102412552,5.0013863197220125,3.8558210610666936,4.876710539298689,5.363300826338514,5.343460223914948,5.820700445037965,5.366795665250825,5.251532891997265,5.089739181980732
YAL064W,5.6457963215815115,5.4044419499992475,5.411196629143071,5.892747811974983,5.230940869321018,5.026902531409269,4.805629622547711,5.374166945479262,4.591300627511254,5.235917486938414,5.211999812253667,5.379097499589157,5.588212133413046,5.668178599937677,5.315437099949843,6.229592980687565
YAL063C-A,5.344518508473398,5.527131501612265,5.114297322169551,4.986067977077782,4.855689685470368,4.819840618122608,4.466251548479383,5.060908937755931,4.340186596077305,4.695887803064237,5.078383346908291,5.108898260056273,4.8031750854337085,4.8952866681033695,4.320403779066307,5.60280461247784
YAL063C,6.799623442078658,6.955632500274057,6.25155916051052,6.2712038448547975,6.804011731393882,6.646247448865855,6.455522786122832,6.332719681630077,6.372126445624404,6.571904712148926,6.61059305360515,7.03313741672998,6.942241122814886,6.6261891421302845,6.503322339406983,6.567917700497524
YAL062W,8.265242460672024,7.987696745057453,8.565812266023569,8.53254942006792,8.154009949765868,8.17881312357781,7.956455435414559,7.778501094732729,7.522933682261167,7.240321409596555,7.572458963584126,7.644020618315188,7.590945053744537,7.881852075692521,8.279382187347705,7.940150876555703
YAL061W,8.45175760570497,8.430427073485006,8.858048370310598,8.509217546406528,8.375678628981678,8.173377551662131,8.165307832859789,7.992330941820268,7.476895794788245,7.298569114814727,7.838369008970252,7.867474809752404,8.086785800872697,8.104208370709971,8.522139918122797,8.407139314453051
YAL060W,8.346952293731885,8.186961456690561,8.826955321754404,8.493450662202436,8.1809840463178,8.17881312357781,7.857820773779532,7.696425395206185,7.589347890332424,7.431773295875771,7.884137174735858,7.743075368176263,7.980278732727143,8.10922569283533,8.283382351580414,8.343968050353906
YAL059C-A,7.567730451583383,7.562050149298027,7.288450103970228,7.686125523974424,7.726081823870863,7.00561329309768,7.158533189497248,7.495365527915457,7.285407181898454,7.109042113646776,7.469466713040924,7.448217385356215,7.479756993416514,7.3740725010837185,7.7593495230656755,7.7044374181334945
YAL059W,7.384342461382291,7.370495277116595,7.174501983259717,7.3950922760381745,7.416790570399452,6.582058362128369,6.8420791419041,6.9515632438683435,6.765885568787702,6.882357107833646,6.865091122745562,7.109381746348435,7.0376993716764105,7.129335325046913,7.342701200159883,7.657971692401655
YAL058W,7.644576962029905,7.679146987243525,7.492451050692708,7.71360494917169,7.79055290388959,7.760004886122998,7.576961987021122,7.516780233006942,7.461217470699629,7.3667080040496105,7.685918054186473,7.665826657181945,7.578300221201408,7.47857795369283,7.6643851694533085,7.600162265859463
YAL056C-A,7.238716749426234,7.196533080782793,7.342217768891695,7.115002577041871,7.103753934406248,7.145431051992364,7.283222314518749,7.371541154097509,7.221697147490767,6.932269454359001,7.269386678866228,7.456581594742485,7.670540675155119,7.561452287790175,7.327284283452103,7.270240340747461
YAL056W,7.359688803743059,7.46561905025505,7.7461938971308255,7.352026130753693,7.389297631640969,7.342348359066314,7.611969335999594,7.236082779330589,7.582117723871178,7.354556093572805,7.742232088072382,7.513811389468986,7.6220805971411645,7.803537824182638,7.627097598138256,7.498347156931623
YAL055W,9.531069650795144,9.07309175299137,9.584504015614302,9.172993177514739,8.751748917322491,8.342747181322618,8.205973891415493,7.881141364008166,7.726826036465345,7.323720820176014,8.339622671453649,8.298133751107201,8.905848392724716,8.989050607358624,9.73840797618262,9.569689872263565
YAL054C,7.6848296406865035,7.510927862821241,7.546895678281945,7.563120819264436,7.487642303379515,7.342348359066314,7.098086146294795,7.383247490594362,7.183987022570564,7.5322938803175425,7.206725870056613,7.439804400474519,7.628227876094082,7.4629847338186925,7.424669501258835,7.508858156769762
YAL053W,7.553307691207923,7.370495277116595,7.635700045688115,7.6150459357513505,7.212335511451978,6.752133495961126,7.304779139749187,7.299235363724426,7.085159856232208,6.890796672645011,7.253974770880674,6.6657170850721865,7.083159884741444,7.027004933263028,7.460441959850142,7.365852578415453
YAL051W,7.736810280502794,7.625224303326464,7.739530497768945,7.805859233247059,7.513339607767946,7.693207583748195,7.466535013778421,7.210026817190072,7.337862294038916,7.253470096340413,7.609261273689787,7.553343044008432,7.628227876094082,7.73378077493807,7.815676931848506,7.758290193368933
YAL049C,7.183596184513866,7.177925082809408,6.671222301871431,7.175539875938033,6.884984651660895,6.917322573863279,6.797156421205365,6.967203859693495,7.054141567700686,7.298569114814727,7.344069276021111,7.3617947689391015,7.51335820086229,7.4629847338186925,7.3805377655929,7.377370579369379
YAL048C,7.334606513941164,7.540362033044189,7.500355783075238,7.08375390394167,7.487642303379515,7.352003847455391,7.326018598057991,7.142750599202463,7.388476908071423,7.193333712666157,7.639228598196257,7.621879920890919,7.486540133978549,7.486311814039807,7.43189530491621,7.141061205333597
YAL047W-A,7.400547247168603,7.562050149298027,7.468473616086078,7.195167344789232,7.2331045162231264,7.242063517756255,7.3675818561758195,7.383247490594362,7.240188902883865,7.408451296820174,7.7311437620125085,7.736221202585284,7.609706896656935,7.680842370250167,7.614451126861206,7.411382915475876
YAL047C,7.326147900400603,7.345700976244333,7.260795661093424,7.2241167780884314,7.169878420341097,7.361595144178938,7.427764340743959,7.196820214584852,7.589347890332424,7.420159422533875,7.597097851180858,7.439804400474519,7.584636490996562,7.3740725010837185,7.481487272794375,7.1137770166213805
YAL046C,7.9278112620375305,8.014162742889772,8.237287473672621,8.247758240626787,8.217920056276883,8.595317901231011,8.337291691095272,8.231289996380607,8.105279094283722,7.819891852868003,8.268543261921252,8.13052509475439,8.33246402581395,8.279126693178053,8.466931427103585,7.970887512573139
YAL045C,7.755830109112587,7.993028928314363,8.139443719108716,8.09941066077842,8.087136920620615,8.283433266053615,8.117383887662848,8.088427305232543,8.038174194684771,7.888924259200162,8.140297643139455,7.999272999989272,8.2025415578215,8.06858987998477,8.149532945352078,7.860316159119728
YAL044W-A,7.74317812501411,7.672515845306998,7.785540641415943,7.7735842772845585,7.917874919843975,8.134744090596863,7.921997743130975,7.804853833668369,7.666576336278444,7.477315843214142,7.9040216464394675,7.922855154565912,7.896172776119424,7.950553063818505,7.937446837253505,7.590298073923101
YAL044C,8.233932723326813,8.18230104261013,8.423407738312191,8.453262693899372,8.269097505006153,8.226833117453808,8.373444505093381,8.211726951870299,8.038174194684771,8.100172846899406,8.221776863257586,8.260412212651017,8.255128335338958,8.427098004318745,8.49824573450412,8.10855943361902
YAL043C,7.899584184905317,7.652437559803079,7.562081222752371,7.57814824424817,7.587794286593667,7.582733834885595,7.594571841643969,7.742598177558179,7.784660137179487,7.6007695766184,7.9236357750254385,7.9761879843380195,8.100115846621504,7.753142363610156,8.045029454532857,7.676737947295664
YAL042C-A,7.780806003050474,7.793573430740116,7.546895678281945,7.517075906228399,7.818307221976898,7.480804806752848,7.7282093003599925,7.599395196156068,7.934117038975607,7.636337684145068,8.217810361768377,8.246008419500171,8.270930678190807,7.834163833840109,8.234632414713595,7.6952632261455065
YAL042W,7.8414171361688645,7.7689181172525394,7.562081222752371,7.403553357545816,7.76938105691555,7.436112966272318,7.712166080195432,7.506112613856959,7.882078365955522,7.526889403103517,8.165228192862571,8.181874750815018,8.218927209464866,7.803537824182638,8.166959157935205,7.7405616901458885
YAL041W,7.516607077253171,7.672515845306998,7.402514407589473,7.307634749035564,7.666250753091836,7.662497334138889,8.074103421520528,7.839258342814967,7.846312955928314,7.6212014556334635,7.913862043407276,8.033222354174608,7.970634650821185,7.740263551941576,7.608086075332412,7.519293130499998
YAL040C,8.183316302334966,8.130017557997828,8.508175290935453,8.53254942006792,8.1809840463178,8.173377551662131,8.129514944184399,8.165021017428725,8.079837551424571,7.6007695766184,7.7366985779064175,7.729334317717422,7.806858422397779,7.870076980710308,8.05442328168557,8.265559882086357
YAL039C,8.94983737609173,8.568979275787541,9.429608284895204,9.101986316461346,8.898730716462113,8.716126605906645,8.452828082507967,8.306992636152373,8.13027974607844,7.7286799971144955,7.947784286854579,7.98199396087842,8.282669872791628,8.129122291254939,8.721051523629953,8.832316488825908
YAL038W,8.578240817842204,8.422544852132114,9.047995259039268,8.689554548087816,8.729995513286704,8.803167687763874,8.486230494419093,8.424953870733631,8.038174194684771,7.709724625084117,7.9040216464394675,7.940852720481507,7.926420251870527,8.177695417062838,8.413181432976042,8.67787321976227
YAL037C-B,8.54582417830556,8.382474534205086,8.769241203226828,8.753833788790635,8.426154916961751,8.283433266053615,7.928955435908148,8.007538059719577,7.87025480616852,7.6007695766184,7.8123005235496406,7.763444621787217,7.762834962903105,7.753142363610156,7.972555619671721,8.308308381233042
YAL037C-A,8.94155488427979,8.695383474749736,9.562020315424881,9.199959765951478,8.968511719122086,8.578966092609923,8.147522387207529,8.237752501750565,7.759241874626651,7.348441537927202,7.124367306021805,7.3706737501717114,6.88177941023088,7.509267710126053,7.972555619671721,8.798444513574836
YAL037W,8.952587673698174,8.721316535646256,9.578915854928656,9.207227644125707,9.008213294243234,8.595317901231011,8.177044143022659,8.250591309789689,7.828092166884531,7.437545359750919,7.174344419034076,7.396987456951515,6.942241122814886,7.539318193502118,7.977502134429061,8.840661666483285
YAL036C,7.560537094535049,7.590469601091219,7.427603824663925,8.035519407250051,7.579708774027411,7.221142043541821,7.5410840062604,7.881141364008166,7.765638547860437,7.675941368073584,7.769585686980996,7.763444621787217,7.916408057967661,7.680842370250167,7.43189530491621,7.167838959457697
