Symbol,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL069W,6.055999598867289,6.567118885991698,7.351397442331523,6.944313117656585,6.768229958411504,6.9748715071201,6.896597314079136,6.839100312018656,6.576295893543101,6.637256016918212,5.668121576917089,6.403154615595005,6.643856189774724,6.297115919353977,6.397538425333233
YAL068W-A,5.0775221383756834,5.3571591016006375,5.55538369696805,5.419179345048261,4.866651477652815,5.278546129802616,5.501600873367747,5.888008036171878,5.362141599334575,5.800807250574695,5.384906255925843,5.1784775535751075,5.247927513443585,5.278825227566762,5.680804825885476
YAL068C,7.291318348310452,8.018975710293276,8.063210327644786,7.24872948610384,7.341830461009458,7.808057387572418,7.749140105043937,7.515928730919723,7.7693590385333735,6.787809071563038,7.509899825365357,7.419549282340015,7.584962500721156,7.269417582556436,7.312558718581816
YAL067W-A,5.0775221383756834,4.2821718258096935,5.125726399289558,2.8931929660070175,4.518141241731168,3.625800032684562,3.9789606679047624,4.929714622891374,4.475450226278076,4.517185471433649,4.564269694322064,3.970165274049066,4.700439718141092,5.12272585109453,4.664633505931111
YAL067C,0,0,0,2.0753834639320567,0,0,0,0.7965642498723324,0,0,0,0,1,0,0.8366447481919401
YAL066W,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5804656950544032,0
YAL065C,6.6337159725203785,6.567118885991698,6.294938802445522,6.028818514115455,6.544590082588777,6.577999026322568,6.361522343750051,6.104342717083936,6.280220312617862,5.800807250574695,6.009952179353948,6.187754851946548,6.475733430966398,5.876007252177665,5.7243464415779535
YAL064W-B,9.575202423726099,9.77248325719123,9.708624344112803,9.587366579319795,9.695274292101836,9.460170964614004,9.226697715755245,9.276231709183367,9.294037498663624,9.499153750120447,9.259206494976668,9.566248230644595,9.707359132080883,9.568797639257404,9.506137176806737
YAL064C-A,5.648172013830829,5.6052275163079734,5.517738465901022,4.739659854671611,5.209498177048647,5.851065659972826,5.24492125172022,5.094370567431536,4.6209534037218445,5.485334591451004,4.81710468044701,5.444611025591875,5.491853096329675,5.419671626215327,5.2455306040604075
YAL064W,4.119627286758586,4.493932280132541,4.166467297208579,5.1842884817964245,4.942049006646042,5.278546129802616,0,4.575660224429143,3.805647637236619,3.5788522664002587,3.8673956494996022,4.217775433091372,4,4.385889115680841,4.664633505931111
YAL063C-A,7.434830829081308,7.107320248106872,6.699783066109981,7.154218890403319,7.032510741027446,7.176895020459312,7.352722817580658,7.147299527588695,6.851628549241843,7.269500521493695,7.318385066990395,7.394606134089058,7.426264754702098,7.524667559048648,7.442082726706549
YAL063C,11.189587046262051,11.150174701093784,11.204095373733228,11.103131675347889,10.98697011161196,10.802413578524817,10.70548087289613,10.532175699306464,10.792652050250085,10.92111439693086,10.780767724548715,10.920183601989647,11.075479149488016,10.96407779714363,10.892760296157626
YAL062W,10.49458305410037,10.696096992705545,10.607168105611436,10.549772082444207,10.423892711936256,10.11993189002511,10.260653589954659,10.027626718360882,10.265481518458635,10.208871624390088,10.203626355599221,10.329025753412411,10.467605550082997,10.171920213476904,10.240435653036311
YAL061W,10.678887622941721,10.776726343217273,11.010161550280744,10.679856337640569,10.54370832980622,10.333708767090098,10.353146621637395,10.192068406425086,10.330402760457137,10.453793643423392,10.320714447398698,10.521324889146063,10.682994583681683,10.343088800785003,10.338266232325765
YAL060W,9.777263123125586,9.889394136746667,10.017619623680993,10.112191984966515,9.949365242851332,9.997190381806666,10.13364998445111,9.842001129618756,9.916619913783345,10.083451554765656,10.152845963641939,9.80266050061343,9.935165049603695,9.802221242585325,9.882750433244652
YAL059C-A,7.291318348310452,7.245335449534604,6.781473998916269,7.393667935250569,7.299452898182682,7.902285475698724,7.592372367385767,7.654299679870575,7.314351509037814,8.043206770374974,7.358775945882172,7.74966025209731,7.467605550082998,7.37699433306898,7.368518726526224
YAL059W,7.795546804967261,7.99308162347049,7.6147428017553995,8.213055153166449,8.102877436751209,8.492828420350882,8.281399431833124,8.380975310379945,8.12698240834626,8.5440976095208665,7.91394937965726,8.345461551761634,8.087462841250339,8.148091374674497,8.180944549887574
YAL058W,10.534969698592736,10.467594920602437,10.519412961372314,10.61627988570907,10.425535612903925,10.290802019079791,10.336764788794696,10.188428353432,10.251580568908023,10.311881047051772,10.325817351769524,10.299096060644908,10.44604940671655,10.41426731550659,10.45917183014156
YAL056C-A,7.99401749443625,7.984345941583934,7.7179435045571285,7.646040083520509,7.956011583881067,7.541437353408151,8.019292102031287,7.71628133006424,7.705529237115488,7.46097630784756,7.801227004102121,7.61577319833538,8.076815597050832,7.845027856869356,7.8136477419274994
YAL056W,10.649759237444666,10.685357113043526,10.707761986919607,10.707853800966522,10.989193681453322,10.99915227642753,11.094550942050894,10.754018557241457,10.804125996297348,10.811119828393881,10.611409639477078,10.800666325347667,10.79603960882977,10.652357672378882,10.663820440697267
YAL055W,8.681525370427766,8.298101785639007,8.176260374456506,8.546467948291435,8.814523930916371,8.50789359570142,8.5606888477377,8.348724661421135,8.57833900842471,7.629991204623525,8.185000421298513,8.165480581807573,8.45532722030456,8.021181445270072,8.204197298980876
YAL054C,10.649759237444666,10.740870013392746,10.958410200317038,10.986830440916917,11.019969086578215,10.911233651079543,10.86820327883188,10.758321705277394,10.93600415264528,10.92111439693086,10.762066169854107,10.407488834878462,10.541096615349524,10.251821081822081,10.283827625387026
YAL053W,11.17432686080376,11.105556315805952,11.232696103926138,11.132349232198704,11.08690339842006,11.06174460884976,10.896422001616829,10.878401973801072,11.050421442870835,11.118749466167582,11.105502016710675,11.06356592213336,11.130570562805426,10.852011268037815,10.865064776712689
YAL051W,10.80974213907954,10.760189520152668,10.77811023732253,10.642627946215503,10.694403915588474,10.832643105180823,10.749462098421693,10.636043573783974,10.663175276403743,10.828597580666859,10.784479119249792,10.810129124667391,10.782179193831208,10.732190165320711,10.780572702585996
YAL049C,10.756084741581507,10.613528629615795,10.705670859938923,10.492979529063396,10.417302335005353,10.443560769068926,10.455321210994576,10.380121302790405,10.464192702683102,10.476145630927473,10.37094902137426,10.506849782736673,10.544964432789238,10.569738302330405,10.485508252481186
YAL048C,10.392776607314401,10.495529430357731,10.462344842165061,10.450526115052405,10.275107739995727,10.286440316474671,10.180302320357974,10.252584166470527,10.283354797029506,10.168264467582864,10.209159851685348,10.3807476537211,10.473705749619416,10.449608755405364,10.430703711160254
