value,dim,ratio
3051.009550023951,0,5348.391131693509
22.83365614821104,1,0.2995621503365776
17.624520532537787,2,0.17847222911307492
15.299221728929423,3,0.13448526516244078
9.59649308764218,4,0.052912847731324104
9.282843938963044,5,0.04951059259473569
8.3567626062839,6,0.040124733071538216
8.261707227885863,7,0.03921711370520961
7.838142544265415,8,0.03529899498140074
7.538637031593998,9,0.03265289508867068
7.2560130731733405,10,0.030250470859201812
6.794473585518689,11,0.02652452743226296
6.4140362462015865,12,0.023637353250725083
6.134777422709204,13,0.021623881222236272
5.6980643019305095,14,0.018654805173184942
5.450997367868779,15,0.017072140277416506
